FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Lineage	DisplayName
OTU_81	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Friedmanniella		k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Friedmanniella;s__	Friedmanniella
OTU_3	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	Flavobacterium
OTU_670	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
OTU_2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Kineosporiaceae			k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__;s__	Kineosporiaceae
OTU_32	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23			k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__Dolo_23;g__;s__	Dolo_23
OTU_29	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23			k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__Dolo_23;g__;s__	Dolo_23
OTU_535	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
OTU_9	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium		k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__	Janthinobacterium
OTU_56	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Kaistobacter		k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__	Kaistobacter
OTU_40	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces		k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces;s__	Streptomyces
OTU_27	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23			k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__Dolo_23;g__;s__	Dolo_23
OTU_92	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	Flavobacterium
OTU_17	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__;s__	Methylophilaceae
OTU_340	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae			k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__;s__	Oxalobacteraceae
OTU_233	Bacteria	Acidobacteria	iii1-8	DS-18				k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18;f__;g__;s__	OTU_233
OTU_327	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	viridiflava	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava	viridiflava
OTU_13	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
OTU_10	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
OTU_66	Bacteria	Chloroflexi	SHA-26					k__Bacteria;p__Chloroflexi;c__SHA-26;o__;f__;g__;s__	OTU_66
OTU_85	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	flexus	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__flexus	flexus
OTU_4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium		k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__	Janthinobacterium
OTU_49	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae			k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__	Hyphomicrobiaceae
OTU_3175	Bacteria	Proteobacteria	Betaproteobacteria					k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__	OTU_3175
OTU_312	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae			k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	Micromonosporaceae
OTU_7	Bacteria	Chloroflexi	Chloroflexi	Herpetosiphonales				k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales;f__;g__;s__	OTU_7
OTU_1718	Bacteria	Proteobacteria	Betaproteobacteria	Ellin6067				k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067;f__;g__;s__	OTU_1718
OTU_228	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales				k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__	OTU_228
OTU_83									OTU_83
OTU_771	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
OTU_800	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
OTU_8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__;s__	Comamonadaceae
OTU_530	Bacteria	Chloroflexi	TK10					k__Bacteria;p__Chloroflexi;c__TK10;o__;f__;g__;s__	OTU_530
OTU_839	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium		k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	Phenylobacterium
OTU_5	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23			k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__Dolo_23;g__;s__	Dolo_23
OTU_23	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
OTU_182	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__;s__	Cytophagaceae
OTU_34	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae			k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	Micromonosporaceae
OTU_681	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Sporichthyaceae			k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae;g__;s__	Sporichthyaceae
OTU_180	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia		k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia;s__	Serratia
OTU_362	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis		k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis;s__	Amycolatopsis
OTU_25	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]				k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__;g__;s__	OTU_25
OTU_486	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	chondroitinus	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__chondroitinus	chondroitinus
OTU_42	Bacteria	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]			k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__[Roseiflexales];f__[Kouleothrixaceae];g__;s__	[Kouleothrixaceae]
