FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	NegativePrevalence	BiologicalPrevalence	TotalReads	FrequencyP	PrevalenceP	CombinedP	GlobalContaminant	BatchContaminant
Seq1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.4	0.996289424860853	4510922	1	1	1	FALSE	FALSE
Seq2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0.166666666666667	0.98886827458256	1347033	1	1	1	FALSE	FALSE
Seq3	Bacteria	unknown	unknown	unknown	unknown	unknown	0.333333333333333	0.278293135435993	27411	1.64227680084579e-11	0.328517354005742	1.45375496883279e-10	TRUE	TRUE
Seq4	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0.1	0.957328385899815	980521	0.999998358355428	1	0.999999999998653	FALSE	FALSE
Seq5	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0.0666666666666667	0.653061224489796	606314	0.999999912405165	0.99999999979982	0.999999999999996	FALSE	FALSE
Seq6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_Incertae_Sedis_XI	Gemella	0.0666666666666667	0.99443413729128	557578	1	1	1	FALSE	FALSE
Seq7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unknown	0	0.49721706864564	350289	0.812772192032098	0.999999849039749	0.981263430639639	FALSE	FALSE
Seq8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0.0333333333333333	0.871985157699443	304140	0.999999663540916	1	0.999999999999943	FALSE	FALSE
Seq9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.896103896103896	274169	0.995495646504495	1	0.999989840133775	FALSE	FALSE
Seq10	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	0	0.612244897959184	227637	0.999997637407033	0.999999999933057	0.999999999997209	FALSE	FALSE
Seq11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	0	0.936920222634508	221984	0.999080733303368	1	0.999999577344839	FALSE	FALSE
Seq12	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	0	0.786641929499072	201784	0.999999996098952	1	1	FALSE	FALSE
Seq13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	unknown	0.0666666666666667	0.975881261595547	199653	0.999999129481302	1	0.999999999999621	FALSE	FALSE
Seq14	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.0333333333333333	0.808905380333952	193916	0.996242045647481	1	0.999992930027774	FALSE	FALSE
Seq15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	0	0.88682745825603	192541	0.997357660609937	1	0.999996505942422	FALSE	FALSE
Seq16	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unknown	0.0333333333333333	0.89239332096475	149010	0.999999985758298	1	1	FALSE	FALSE
Seq17	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0	0.851576994434137	139097	0.900922052499658	1	0.994921139857414	FALSE	FALSE
Seq18	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	unknown	0	0.495361781076067	133537	0.640518611382572	0.99999983329091	0.925854937618809	FALSE	FALSE
Seq19	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	0	0.760667903525046	93724	0.999909908972282	1	0.999999995941682	FALSE	FALSE
Seq20	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	0.0666666666666667	0.812615955473098	108272	0.999999999998648	1	1	FALSE	FALSE
Seq21	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0	0.703153988868275	101832	0.999999956526216	0.999999999999995	0.999999999999999	FALSE	FALSE
Seq22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	0	0.645640074211503	88278	0.809883750779816	0.999999999996776	0.98065953086726	FALSE	FALSE
Seq23	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.0333333333333333	0.551020408163265	84744	0.999999995723268	0.999999952980584	0.999999999999999	FALSE	FALSE
Seq24	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	0	0.207792207792208	98861	0.998761470363658	0.994614721456622	0.999978058289359	FALSE	FALSE
Seq25	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	0.0333333333333333	0.838589981447124	72244	0.999999999993423	1	1	FALSE	FALSE
Seq26	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	0	0.224489795918367	64139	0.999999981208496	0.996485265309082	0.999993816004887	FALSE	FALSE
Seq27	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	unknown	unknown	0	0.799628942486085	55226	0.994735331894443	1	0.99998611725075	FALSE	FALSE
Seq28	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.597402597402597	57589	1	0.999999999775818	1	FALSE	FALSE
Seq29	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0.306122448979592	59568	0.999678544763015	0.999650208025086	0.999999774738661	FALSE	FALSE
Seq30	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	0.966666666666667	0.482374768089054	60285	8.43741558310145e-15	3.2382187916525e-07	1.32100565135448e-19	TRUE	TRUE
Seq31	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	0	0.573283858998145	47436	0.220145859974189	0.999999998632152	0.553328903012917	FALSE	TRUE
Seq32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.0666666666666667	0.504638218923933	45318	0.999999999997983	0.999996354586256	0.999999999993355	FALSE	FALSE
