Plate	Habitat	Samples	Subject	PlateSubject
Plate 1	Cheek left	15	Subject 1104	Plate 1 · Subject 1104
Plate 2	Cheek left	10	Subject 1104	Plate 2 · Subject 1104
Plate 3	Cheek left	16	Subject 1101	Plate 3 · Subject 1101
Plate 4	Cheek left	16	Subject 1102	Plate 4 · Subject 1102
Plate 5	Cheek left	16	Subject 1102	Plate 5 · Subject 1102
Plate 6	Cheek left	16	Subject 1101	Plate 6 · Subject 1101
Plate 1	Cheek right	14	Subject 1104	Plate 1 · Subject 1104
Plate 2	Cheek right	11	Subject 1104	Plate 2 · Subject 1104
Plate 3	Cheek right	15	Subject 1101	Plate 3 · Subject 1101
Plate 4	Cheek right	15	Subject 1102	Plate 4 · Subject 1102
Plate 5	Cheek right	14	Subject 1102	Plate 5 · Subject 1102
Plate 6	Cheek right	15	Subject 1101	Plate 6 · Subject 1101
Plate 1	Mouth floor	9	Subject 1104	Plate 1 · Subject 1104
Plate 2	Mouth floor	17	Subject 1104	Plate 2 · Subject 1104
Plate 3	Mouth floor	13	Subject 1101	Plate 3 · Subject 1101
Plate 4	Mouth floor	8	Subject 1102	Plate 4 · Subject 1102
Plate 5	Mouth floor	13	Subject 1102	Plate 5 · Subject 1102
Plate 6	Mouth floor	8	Subject 1101	Plate 6 · Subject 1101
Plate 1	Lower lip	15	Subject 1104	Plate 1 · Subject 1104
Plate 2	Lower lip	11	Subject 1104	Plate 2 · Subject 1104
Plate 3	Lower lip	8	Subject 1101	Plate 3 · Subject 1101
Plate 4	Lower lip	14	Subject 1102	Plate 4 · Subject 1102
Plate 5	Lower lip	8	Subject 1102	Plate 5 · Subject 1102
Plate 6	Lower lip	14	Subject 1101	Plate 6 · Subject 1101
Plate 1	Upper lip	15	Subject 1104	Plate 1 · Subject 1104
Plate 2	Upper lip	11	Subject 1104	Plate 2 · Subject 1104
Plate 3	Upper lip	7	Subject 1101	Plate 3 · Subject 1101
Plate 4	Upper lip	14	Subject 1102	Plate 4 · Subject 1102
Plate 5	Upper lip	8	Subject 1102	Plate 5 · Subject 1102
Plate 6	Upper lip	14	Subject 1101	Plate 6 · Subject 1101
Plate 1	Mouth roof	8	Subject 1104	Plate 1 · Subject 1104
Plate 2	Mouth roof	18	Subject 1104	Plate 2 · Subject 1104
Plate 3	Mouth roof	14	Subject 1101	Plate 3 · Subject 1101
Plate 4	Mouth roof	8	Subject 1102	Plate 4 · Subject 1102
Plate 5	Mouth roof	14	Subject 1102	Plate 5 · Subject 1102
Plate 6	Mouth roof	8	Subject 1101	Plate 6 · Subject 1101
Plate 1	Tongue	15	Subject 1104	Plate 1 · Subject 1104
Plate 2	Tongue	12	Subject 1104	Plate 2 · Subject 1104
Plate 3	Tongue	16	Subject 1101	Plate 3 · Subject 1101
Plate 4	Tongue	15	Subject 1102	Plate 4 · Subject 1102
Plate 5	Tongue	16	Subject 1102	Plate 5 · Subject 1102
Plate 6	Tongue	15	Subject 1101	Plate 6 · Subject 1101
