sample_id	raw_reads	phyloseq_reads	microtable_reads	phyloseq_delta	microtable_delta	status
S1	25542	25542	25542	0	0	PASS
S2	26764	26764	26764	0	0	PASS
S3	12843	12843	12843	0	0	PASS
S4	13280	13280	13280	0	0	PASS
S5	17640	17640	17640	0	0	PASS
S6	22525	22525	22525	0	0	PASS
S7	17370	17370	17370	0	0	PASS
S9	25295	25295	25295	0	0	PASS
S10	31793	31793	31793	0	0	PASS
S11	16285	16285	16285	0	0	PASS
S12	11457	11457	11457	0	0	PASS
S13	13580	13580	13580	0	0	PASS
S15	20864	20864	20864	0	0	PASS
S16	14312	14312	14312	0	0	PASS
S17	28215	28215	28215	0	0	PASS
S18	27945	27945	27945	0	0	PASS
S19	15540	15540	15540	0	0	PASS
S20	17170	17170	17170	0	0	PASS
S22	21718	21718	21718	0	0	PASS
S23	16485	16485	16485	0	0	PASS
S24	12309	12309	12309	0	0	PASS
S25	37374	37374	37374	0	0	PASS
S26	35104	35104	35104	0	0	PASS
S27	16624	16624	16624	0	0	PASS
S28	25853	25853	25853	0	0	PASS
S30	12291	12291	12291	0	0	PASS
S34	18989	18989	18989	0	0	PASS
S35	11275	11275	11275	0	0	PASS
S36	13034	13034	13034	0	0	PASS
S37	16809	16809	16809	0	0	PASS
S61	14698	14698	14698	0	0	PASS
S62	15680	15680	15680	0	0	PASS
S63	15609	15609	15609	0	0	PASS
S65	34398	34398	34398	0	0	PASS
S85	15864	15864	15864	0	0	PASS
S86	15086	15086	15086	0	0	PASS
S87	13090	13090	13090	0	0	PASS
S88	15375	15375	15375	0	0	PASS
S89	20685	20685	20685	0	0	PASS
S112	18765	18765	18765	0	0	PASS
S113	31578	31578	31578	0	0	PASS
S114	30628	30628	30628	0	0	PASS
S161	14746	14746	14746	0	0	PASS
S162	20882	20882	20882	0	0	PASS
S164	10674	10674	10674	0	0	PASS
S165	13592	13592	13592	0	0	PASS
S166	14975	14975	14975	0	0	PASS
S167	12562	12562	12562	0	0	PASS
S168	10364	10364	10364	0	0	PASS
S169	21929	21929	21929	0	0	PASS
S170	13259	13259	13259	0	0	PASS
S171	15143	15143	15143	0	0	PASS
S172	15230	15230	15230	0	0	PASS
S173	11362	11362	11362	0	0	PASS
S174	12288	12288	12288	0	0	PASS
S175	12201	12201	12201	0	0	PASS
S176	14640	14640	14640	0	0	PASS
S177	11140	11140	11140	0	0	PASS
S179	10365	10365	10365	0	0	PASS
S182	13019	13019	13019	0	0	PASS
S187	25908	25908	25908	0	0	PASS
S188	15143	15143	15143	0	0	PASS
S191	11594	11594	11594	0	0	PASS
S194	14479	14479	14479	0	0	PASS
S196	16626	16626	16626	0	0	PASS
S197	14934	14934	14934	0	0	PASS
S198	17006	17006	17006	0	0	PASS
S201	31839	31839	31839	0	0	PASS
S202	21086	21086	21086	0	0	PASS
S203	16941	16941	16941	0	0	PASS
S204	11920	11920	11920	0	0	PASS
S205	12491	12491	12491	0	0	PASS
S206	10672	10672	10672	0	0	PASS
S207	16427	16427	16427	0	0	PASS
S208	11223	11223	11223	0	0	PASS
S209	12991	12991	12991	0	0	PASS
S210	25846	25846	25846	0	0	PASS
S213	15440	15440	15440	0	0	PASS
S214	16604	16604	16604	0	0	PASS
S215	18461	18461	18461	0	0	PASS
S216	13572	13572	13572	0	0	PASS
S217	28229	28229	28229	0	0	PASS
S218	24813	24813	24813	0	0	PASS
S219	14303	14303	14303	0	0	PASS
S220	10597	10597	10597	0	0	PASS
S221	15539	15539	15539	0	0	PASS
S222	17704	17704	17704	0	0	PASS
S223	19783	19783	19783	0	0	PASS
S224	17417	17417	17417	0	0	PASS
S225	33970	33970	33970	0	0	PASS
