feature_id	frequency	samples_observed	genus_agreement_pattern	silva_taxon	silva_confidence	silva_category	silva_domain	silva_phylum	silva_class	silva_order	silva_family	silva_genus	silva_species	gtdb_taxon	gtdb_confidence	gtdb_category	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	greengenes2_taxon	greengenes2_confidence	greengenes2_category	greengenes2_domain	greengenes2_phylum	greengenes2_class	greengenes2_order	greengenes2_family	greengenes2_genus	greengenes2_species
003d0470f23082c7bf6de11e71a56898	10	1	Database-specific/renamed genus	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__GOUTA6	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	GOUTA6		d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__SG8-39; g__JAGVSZ01; s__JAGVSZ01 sp963747775	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	JAGVSZ01	JAGVSZ01 sp963747775	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__SG8-39; g__VBDM01; s__	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	VBDM01	
0118d57337bccab8f376ba2917c68eb5	3	1	Database-specific/renamed genus	d__Bacteria; p__Ignavibacteriota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__Ignavibacterium	1.0	Bacteria	Bacteria	Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium		d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__JAKAGZ01; s__JAKAGZ01 sp963783855	1.0	Bacteria	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	JAKAGZ01	JAKAGZ01 sp963783855	d__Bacteria; p__Bacteroidota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae_785640; g__; s__	1.0	Bacteria	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae_785640		
020f04df345de3ba12ecf913a853b686	2	1	Database-specific/renamed genus	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Incertae_Sedis; g__Incertae_Sedis	1.0	Archaea	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis		d__Archaea; p__Nanobdellota; c__Nanobdellia; o__SCGC-AAA011-G17; f__GW2011-AR18; g__GW2011-AR18; s__GW2011-AR18 sp000806155	1.0	Archaea	Archaea	Nanobdellota	Nanobdellia	SCGC-AAA011-G17	GW2011-AR18	GW2011-AR18	GW2011-AR18 sp000806155	d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973; f__UBA9973; g__O2-02-FULL-42-17; s__O2-02-FULL-42-17 sp001786095	1.0	Bacteria	Bacteria	Patescibacteria	Paceibacteria	UBA9973	UBA9973	O2-02-FULL-42-17	O2-02-FULL-42-17 sp001786095
029f16d7439ba12681fbf6940821b468	4	1	Database-specific/renamed genus	d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Incertae_Sedis; g__Incertae_Sedis	1.0	Bacteria	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Incertae_Sedis	Incertae_Sedis		d__Bacteria; p__Omnitrophota; c__Gorgyraeia; o__2-02-FULL-51-18; f__2-02-FULL-51-18; g__CAZXLF01; s__CAZXLF01 sp964642015	1.0	Bacteria	Bacteria	Omnitrophota	Gorgyraeia	2-02-FULL-51-18	2-02-FULL-51-18	CAZXLF01	CAZXLF01 sp964642015	d__Bacteria; p__Omnitrophota; c__Koll11; o__2-02-FULL-51-18; f__2-02-FULL-51-18; g__20-14-0-80-50-8; s__20-14-0-80-50-8 sp002779345	1.0	Bacteria	Bacteria	Omnitrophota	Koll11	2-02-FULL-51-18	2-02-FULL-51-18	20-14-0-80-50-8	20-14-0-80-50-8 sp002779345
02b4cbe5c2955ab2f66dc82cdf6dad64	92	3	Database-specific/renamed genus	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium		d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_C; g__Aquabacterium; s__Aquabacterium sp029268225	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Aquabacterium	Aquabacterium sp029268225	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Aquabacterium_A_592457; s__Aquabacterium_A_592457 commune	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_A_595421	Aquabacterium_A_592457	Aquabacterium_A_592457 commune
033b3477cc2e64b426992eee9236d268	3	1	Database-specific/renamed genus	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella		d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella_C; s__	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella_C		d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__	1.0	Bacteria	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae		
0413f9fe237af7a8c9c37b0825a63520	14	1	Database-specific/renamed genus	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Incertae_Sedis; g__Incertae_Sedis	1.0	Archaea	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Incertae_Sedis	Incertae_Sedis		d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales; f__GW2011-AR4; g__JACPJP01; s__JACPJP01 sp964436645	1.0	Archaea	Archaea	Nanobdellota	Nanobdellia	Woesearchaeales	GW2011-AR4	JACPJP01	JACPJP01 sp964436645	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales_579; f__CG1-02-33-12; g__PWVO01; s__	1.0	Archaea	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales_579	CG1-02-33-12	PWVO01	
07d28b94cbd613e425c69c5178e40a06	2	1	Database-specific/renamed genus	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Pacearchaeales; f__Incertae_Sedis; g__SCGC_AAA011-D5	1.0	Archaea	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	Incertae_Sedis	SCGC_AAA011-D5		d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Pacearchaeales; f__GW2011-AR1; g__JBDRGM01; s__JBDRGM01 sp043817815	1.0	Archaea	Archaea	Nanobdellota	Nanobdellia	Pacearchaeales	GW2011-AR1	JBDRGM01	JBDRGM01 sp043817815	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Pacearchaeales; f__GW2011-AR1; g__BMS3ABIN17; s__BMS3ABIN17 sp002897655	1.0	Archaea	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	BMS3ABIN17	BMS3ABIN17 sp002897655
0885d87ef62f2ec47947bcfbe14ef78f	5	1	Database-specific/renamed genus	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales; f__Incertae_Sedis; g__CG1_02_55_22	1.0	Archaea	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Incertae_Sedis	CG1_02_55_22		d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Norongarragalinales; f__UBA97; g__JBBSWX01; s__JBBSWX01 sp038046065	1.0	Archaea	Archaea	Micrarchaeota	Micrarchaeia	Norongarragalinales	UBA97	JBBSWX01	JBBSWX01 sp038046065	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Norongarragalinales; f__Norongarragalinaceae; g__UBA95; s__UBA95 sp002499405	1.0	Archaea	Archaea	Micrarchaeota	Micrarchaeia	Norongarragalinales	Norongarragalinaceae	UBA95	UBA95 sp002499405
08bdc6c81f6b9daab3d132b54e1d45bc	7	1	Database-specific/renamed genus	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Nocardiaceae; g__Rhodococcus	1.0	Bacteria	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Rhodococcus		d__Bacteria; p__; c__; o__; f__; g__; s__	1.0	Bacteria	Bacteria							d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Rhodococcus_376336; s__Rhodococcus erythropolis	1.0	Bacteria	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Rhodococcus_376336	Rhodococcus erythropolis
