database	rank	asv_count	asv_fraction	read_count	read_fraction
SILVA	domain	358	0.978142	5181	0.993862
SILVA	phylum	354	0.967213	5126	0.983311
SILVA	class	354	0.967213	5126	0.983311
SILVA	order	351	0.959016	5113	0.980817
SILVA	family	351	0.959016	5113	0.980817
SILVA	genus	341	0.931694	4151	0.796279
SILVA	species	0	0.0	0	0.0
GTDB	domain	356	0.972678	5149	0.987723
GTDB	phylum	350	0.956284	4927	0.945137
GTDB	class	349	0.953552	4855	0.931326
GTDB	order	343	0.937158	4799	0.920583
GTDB	family	337	0.920765	4691	0.899866
GTDB	genus	311	0.849727	3589	0.688471
GTDB	species	273	0.745902	2808	0.538653
Greengenes2	domain	362	0.989071	5185	0.994629
Greengenes2	phylum	359	0.980874	5176	0.992902
Greengenes2	class	356	0.972678	5165	0.990792
Greengenes2	order	349	0.953552	5121	0.982352
Greengenes2	family	336	0.918033	4999	0.958949
Greengenes2	genus	272	0.743169	3798	0.728563
Greengenes2	species	186	0.508197	1817	0.348552
