confidence_key	confidence	rank	asv_count	asv_fraction	read_count	read_fraction
c050	0.5	domain	366	1.0	5213	1.0
c050	0.5	phylum	358	0.978142	5172	0.992135
c050	0.5	class	357	0.97541	5169	0.99156
c050	0.5	order	355	0.969945	5158	0.989449
c050	0.5	family	355	0.969945	5158	0.989449
c050	0.5	genus	352	0.961749	4607	0.883752
c070	0.7	domain	366	1.0	5213	1.0
c070	0.7	phylum	354	0.967213	5153	0.98849
c070	0.7	class	353	0.964481	5144	0.986764
c070	0.7	order	336	0.918033	5024	0.963744
c070	0.7	family	333	0.909836	5011	0.961251
c070	0.7	genus	318	0.868852	4217	0.808939
c090	0.9	domain	366	1.0	5213	1.0
c090	0.9	phylum	342	0.934426	4967	0.95281
c090	0.9	class	342	0.934426	4967	0.95281
c090	0.9	order	319	0.871585	4819	0.92442
c090	0.9	family	314	0.857923	4793	0.919432
c090	0.9	genus	294	0.803279	3672	0.704393
