feature_id	frequency	samples_observed	naive_bayes_taxon	naive_bayes_confidence	sequence_search_taxon	sequence_search_confidence	domain_naive_bayes	domain_sequence_search	domain_exact_match	phylum_naive_bayes	phylum_sequence_search	phylum_exact_match	class_naive_bayes	class_sequence_search	class_exact_match	order_naive_bayes	order_sequence_search	order_exact_match	family_naive_bayes	family_sequence_search	family_exact_match	genus_naive_bayes	genus_sequence_search	genus_exact_match
003d0470f23082c7bf6de11e71a56898	10	1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__GOUTA6	0.999630765530534	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__GOUTA6	1.0	Bacteria	Bacteria	True	Pseudomonadota	Pseudomonadota	True	Gammaproteobacteria	Gammaproteobacteria	True	Burkholderiales	Burkholderiales	True	Nitrosomonadaceae	Nitrosomonadaceae	True	GOUTA6	GOUTA6	True
0118d57337bccab8f376ba2917c68eb5	3	1	d__Bacteria; p__Ignavibacteriota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__Ignavibacterium	0.9993597890002223	d__Bacteria; p__Ignavibacteriota; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__Ignavibacterium	1.0	Bacteria	Bacteria	True	Ignavibacteriota	Ignavibacteriota	True	Ignavibacteria	Ignavibacteria	True	Ignavibacteriales	Ignavibacteriales	True	Ignavibacteriaceae	Ignavibacteriaceae	True	Ignavibacterium	Ignavibacterium	True
020f04df345de3ba12ecf913a853b686	2	1	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Incertae_Sedis; g__Incertae_Sedis	0.9994672562974158	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Incertae_Sedis; g__Incertae_Sedis	1.0	Archaea	Archaea	True	Nanoarchaeota	Nanoarchaeota	True	Nanoarchaeia	Nanoarchaeia	True	Woesearchaeales	Woesearchaeales	True	Incertae_Sedis	Incertae_Sedis	True	Incertae_Sedis	Incertae_Sedis	True
029f16d7439ba12681fbf6940821b468	4	1	d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Incertae_Sedis; g__Incertae_Sedis	0.9999117106575086	d__Bacteria; p__Verrucomicrobiota; c__Omnitrophia; o__Omnitrophales; f__Incertae_Sedis; g__Incertae_Sedis	1.0	Bacteria	Bacteria	True	Verrucomicrobiota	Verrucomicrobiota	True	Omnitrophia	Omnitrophia	True	Omnitrophales	Omnitrophales	True	Incertae_Sedis	Incertae_Sedis	True	Incertae_Sedis	Incertae_Sedis	True
02b4cbe5c2955ab2f66dc82cdf6dad64	92	3	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium	0.9484711403932493	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Aquabacterium	1.0	Bacteria	Bacteria	True	Pseudomonadota	Pseudomonadota	True	Gammaproteobacteria	Gammaproteobacteria	True	Burkholderiales	Burkholderiales	True	Comamonadaceae	Comamonadaceae	True	Aquabacterium	Aquabacterium	True
033b3477cc2e64b426992eee9236d268	3	1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella	0.9999019580498494	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella	1.0	Bacteria	Bacteria	True	Pseudomonadota	Pseudomonadota	True	Gammaproteobacteria	Gammaproteobacteria	True	Legionellales	Legionellales	True	Legionellaceae	Legionellaceae	True	Legionella	Legionella	True
0413f9fe237af7a8c9c37b0825a63520	14	1	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Incertae_Sedis; g__Incertae_Sedis	0.9999778722786031	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__Incertae_Sedis; g__Incertae_Sedis	1.0	Archaea	Archaea	True	Nanoarchaeota	Nanoarchaeota	True	Nanoarchaeia	Nanoarchaeia	True	Woesearchaeales	Woesearchaeales	True	Incertae_Sedis	Incertae_Sedis	True	Incertae_Sedis	Incertae_Sedis	True
07d28b94cbd613e425c69c5178e40a06	2	1	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Pacearchaeales; f__Incertae_Sedis; g__SCGC_AAA011-D5	0.9999093088275266	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Pacearchaeales; f__Incertae_Sedis; g__SCGC_AAA011-D5	1.0	Archaea	Archaea	True	Nanoarchaeota	Nanoarchaeota	True	Nanoarchaeia	Nanoarchaeia	True	Pacearchaeales	Pacearchaeales	True	Incertae_Sedis	Incertae_Sedis	True	SCGC_AAA011-D5	SCGC_AAA011-D5	True
0885d87ef62f2ec47947bcfbe14ef78f	5	1	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales; f__Incertae_Sedis; g__CG1_02_55_22	0.9999859170244205	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales; f__Incertae_Sedis; g__CG1_02_55_22	1.0	Archaea	Archaea	True	Micrarchaeota	Micrarchaeota	True	Micrarchaeia	Micrarchaeia	True	Micrarchaeales	Micrarchaeales	True	Incertae_Sedis	Incertae_Sedis	True	CG1_02_55_22	CG1_02_55_22	True
08bdc6c81f6b9daab3d132b54e1d45bc	7	1	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Nocardiaceae; g__Rhodococcus	0.9999919654685996	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Nocardiaceae; g__Rhodococcus	1.0	Bacteria	Bacteria	True	Actinomycetota	Actinomycetota	True	Actinobacteria	Actinobacteria	True	Mycobacteriales	Mycobacteriales	True	Nocardiaceae	Nocardiaceae	True	Rhodococcus	Rhodococcus	True
