SampleID	Group	GroupLabel	LibrarySize	Singletons	Doubletons	GoodsCoverage	Observed	Chao1	Chao1SE	Shannon	Simpson	Pielou	Hill0	Hill1	Hill2	iNEXTCoverage
S1	IW	Inland wetland	25542	1788	686	0.9299976509278834	4044	6369.441048034934	149.29800851135357	6.981851763183634	0.9964281387582362	0.8406815801285611	4044	1076.9107053532819	279.9660827547141	0.93
S2	IW	Inland wetland	26764	1761	607	0.9342026602899417	3941	6489.815789473684	167.27490724273596	6.948722310289564	0.9965333303729833	0.8392997983244438	3941	1041.8177576099115	288.46129213084964	0.9342
S3	IW	Inland wetland	12843	1415	430	0.8898232500194658	2696	5017.125290023202	173.3008895616293	6.722170422710926	0.9961936648659013	0.8509588705637124	2696	830.6183494144375	262.71990373144195	0.8898
S4	IW	Inland wetland	13280	1405	397	0.8942018072289156	2625	5103.165829145729	188.0595659768106	6.602459905844589	0.9954565248947598	0.8386380408611788	2625	736.9056800998795	220.0958466453674	0.8942
S5	IW	Inland wetland	17640	1592	465	0.909750566893424	2886	5603.673819742489	192.61809992846207	6.33125818154934	0.9940728593024512	0.7946228392318871	2886	561.8630750732873	168.71541456971738	0.9098
S6	IW	Inland wetland	22525	1621	489	0.9280355160932298	3119	5798.612244897959	187.16999532255224	6.345091841192625	0.9937779569130858	0.788673797404465	3119	569.6897082951265	160.71891274799148	0.928
S7	IW	Inland wetland	17370	1438	477	0.9172135866436385	2864	5025.512552301256	157.8627692269467	6.557047810646529	0.9950543771330012	0.8237523609548147	2864	704.1897215194043	202.19900038735327	0.9172
S9	IW	Inland wetland	25295	1809	636	0.9284838900968571	3962	6529.246467817897	165.7675142148295	6.971647689677722	0.9961535689498431	0.8415286537894345	3962	1065.977704791913	259.98126235987405	0.9285
S10	IW	Inland wetland	31793	1694	523	0.9467178309690812	3323	6059.585877862595	186.265688855253	6.056846112172599	0.9882806832546492	0.7469635611029759	3323	427.02651707240983	85.32920661920971	0.9467
S11	IW	Inland wetland	16285	1446	346	0.9112066318698189	2546	5556.763688760807	232.7038930594076	5.972370037937767	0.9805258855799026	0.7615605369501997	2546	392.4346544708998	51.3502169304291	0.9112
S12	IW	Inland wetland	11457	1230	314	0.8926420528934276	2129	4528.476190476191	198.38834202987522	5.9801224402046564	0.9847705194940573	0.780347686264943	2129	395.4887889191939	65.6621215418208	0.8926
