Standardization	Group	GroupLabel	Order	Samples	Median	Q25	Q75
Raw counts	CW	Coastal wetland	0	30	2805.5	2544	3048.25
Raw counts	CW	Coastal wetland	1	30	768.4829637637085	635.6458465937927	865.0755679955952
Raw counts	CW	Coastal wetland	2	30	237.97762150998435	116.97561839574473	307.9677306704712
Raw counts	IW	Inland wetland	0	30	3228	2738	3754.75
Raw counts	IW	Inland wetland	1	30	854.5156902165473	580.74630841658	1013.3065326971322
Raw counts	IW	Inland wetland	2	30	209.06256799602176	132.82198983727577	275.65453799889605
Raw counts	TW	Tibetan Plateau	0	30	2866.5	2395.25	3446.25
Raw counts	TW	Tibetan Plateau	1	30	757.5225986435565	511.38882487554974	968.5124340690942
Raw counts	TW	Tibetan Plateau	2	30	165.90840323717276	122.5942066210446	240.28818840057124
10,000 reads	CW	Coastal wetland	0	30	2220.189991020018	2060.3420891480737	2376.654497754043
10,000 reads	CW	Coastal wetland	1	30	723.5851936760041	573.2547296754697	820.8505301109466
10,000 reads	CW	Coastal wetland	2	30	236.18983283158963	116.31771548127925	306.00670373069147
10,000 reads	IW	Inland wetland	0	30	2318.740690789947	2135.532216060753	2493.1578265102244
10,000 reads	IW	Inland wetland	1	30	809.8044158078275	531.2010016037707	909.5155133453084
10,000 reads	IW	Inland wetland	2	30	206.2961874414185	132.20478516278172	271.7712701447656
10,000 reads	TW	Tibetan Plateau	0	30	2214.3964355549015	1959.890073147856	2553.9831380554674
10,000 reads	TW	Tibetan Plateau	1	30	715.3476296742099	492.66427774851843	893.5624981676365
10,000 reads	TW	Tibetan Plateau	2	30	165.54169248170362	122.21062294709688	236.6309535224001
90% coverage	CW	Coastal wetland	0	30	2634.439488851511	2187.821896511074	3071.674827758846
90% coverage	CW	Coastal wetland	1	30	760.8580355354123	629.3970421839874	844.2630958836667
90% coverage	CW	Coastal wetland	2	30	237.03405265829133	116.8614442919228	307.67598939022184
90% coverage	IW	Inland wetland	0	30	2893.2119367539617	2607.8313524320542	3123.2601174210304
90% coverage	IW	Inland wetland	1	30	866.4970559894585	567.9425540729982	992.0211566120585
90% coverage	IW	Inland wetland	2	30	207.61520568036298	132.72832919685794	274.43353429511455
90% coverage	TW	Tibetan Plateau	0	30	2535.5539150362138	2096.2326796797765	3087.7828673251397
90% coverage	TW	Tibetan Plateau	1	30	738.4079356311986	500.1220034290305	958.1226064896781
90% coverage	TW	Tibetan Plateau	2	30	166.09201005211239	122.3144994364869	237.61043111763814
