SampleID	TargetReads	ExpectedObserved	Group	GroupLabel
S1	1000	590.6870060119679	IW	Inland wetland
S2	1000	583.8786847610589	IW	Inland wetland
S3	1000	554.4898948454623	IW	Inland wetland
S4	1000	530.0904579313566	IW	Inland wetland
S5	1000	461.89614009971615	IW	Inland wetland
S6	1000	465.96580288169986	IW	Inland wetland
S7	1000	512.9491387423517	IW	Inland wetland
S9	1000	593.1996692607238	IW	Inland wetland
S10	1000	428.6649628558644	IW	Inland wetland
S11	1000	440.3889545254308	IW	Inland wetland
S12	1000	443.2590520302254	IW	Inland wetland
S13	1000	471.4301487502834	IW	Inland wetland
S15	1000	567.6266710103686	IW	Inland wetland
S16	1000	559.7234955766143	IW	Inland wetland
S17	1000	530.7695827111784	IW	Inland wetland
S18	1000	596.5277964109354	IW	Inland wetland
S19	1000	597.1267161289637	IW	Inland wetland
S20	1000	607.5246024895596	IW	Inland wetland
S22	1000	538.1900431507136	IW	Inland wetland
S23	1000	569.6773950318085	IW	Inland wetland
S24	1000	519.2365330724332	IW	Inland wetland
S25	1000	476.5722470524471	IW	Inland wetland
S26	1000	565.1985962869493	IW	Inland wetland
S27	1000	579.56833651868385	IW	Inland wetland
S28	1000	509.16522964370927	IW	Inland wetland
S30	1000	585.0866163621876	IW	Inland wetland
S34	1000	598.7437988661167	IW	Inland wetland
S35	1000	601.6291318850981	IW	Inland wetland
S36	1000	423.9249006284667	IW	Inland wetland
S37	1000	658.1721117288191	IW	Inland wetland
S61	1000	502.3497832757228	CW	Coastal wetland
S62	1000	494.85486253917003	CW	Coastal wetland
S63	1000	549.7318268577637	CW	Coastal wetland
S65	1000	503.2385337263255	CW	Coastal wetland
S85	1000	465.41734176642	CW	Coastal wetland
S86	1000	555.9502882312469	CW	Coastal wetland
S87	1000	427.48827501437614	CW	Coastal wetland
S88	1000	532.2012578547029	CW	Coastal wetland
S89	1000	350.76581757713086	CW	Coastal wetland
S112	1000	504.4667036225428	CW	Coastal wetland
S113	1000	281.2227581684657	CW	Coastal wetland
S114	1000	356.54551524485424	CW	Coastal wetland
S161	1000	545.3621473135097	CW	Coastal wetland
S162	1000	557.1900405710601	CW	Coastal wetland
S164	1000	545.2892016405666	CW	Coastal wetland
S165	1000	578.888596448352	CW	Coastal wetland
S166	1000	561.2553843512862	CW	Coastal wetland
S167	1000	623.6885873145651	CW	Coastal wetland
S168	1000	611.531213536321	CW	Coastal wetland
S169	1000	573.5592422505832	CW	Coastal wetland
S170	1000	528.9561374870258	CW	Coastal wetland
S171	1000	510.1242315824178	CW	Coastal wetland
S172	1000	544.5383000776447	CW	Coastal wetland
S173	1000	565.255368844433	CW	Coastal wetland
S174	1000	514.487662802593	CW	Coastal wetland
S175	1000	542.3396953267707	CW	Coastal wetland
S176	1000	514.4391145485595	CW	Coastal wetland
S177	1000	506.9055899297447	CW	Coastal wetland
S179	1000	636.6053537890606	CW	Coastal wetland
S182	1000	620.0965655756286	CW	Coastal wetland
S187	1000	480.4788008212592	TW	Tibetan Plateau
S188	1000	454.52192986983493	TW	Tibetan Plateau
S191	1000	468.8643794176869	TW	Tibetan Plateau
S194	1000	368.31830379966465	TW	Tibetan Plateau
S196	1000	418.3852393942235	TW	Tibetan Plateau
S197	1000	668.9483048037748	TW	Tibetan Plateau
S198	1000	660.6164067838266	TW	Tibetan Plateau
S201	1000	613.476126704521	TW	Tibetan Plateau
S202	1000	443.10416904231965	TW	Tibetan Plateau
S203	1000	422.9327494206836	TW	Tibetan Plateau
S204	1000	578.5312285204232	TW	Tibetan Plateau
S205	1000	512.5876134121495	TW	Tibetan Plateau
S206	1000	535.798509163715	TW	Tibetan Plateau
S207	1000	511.81594476392104	TW	Tibetan Plateau
S208	1000	506.13942096089323	TW	Tibetan Plateau
S209	1000	547.7812019188553	TW	Tibetan Plateau
S210	1000	605.1607630065373	TW	Tibetan Plateau
S213	1000	659.6140484106307	TW	Tibetan Plateau
S214	1000	574.6716057175952	TW	Tibetan Plateau
S215	1000	546.7482085567945	TW	Tibetan Plateau
S216	1000	471.4632745419695	TW	Tibetan Plateau
S217	1000	517.4880994624577	TW	Tibetan Plateau
S218	1000	582.3800954216	TW	Tibetan Plateau
S219	1000	590.5784213799274	TW	Tibetan Plateau
S220	1000	616.7516187247874	TW	Tibetan Plateau
S221	1000	587.6266974985132	TW	Tibetan Plateau
S222	1000	492.519454017683	TW	Tibetan Plateau
S223	1000	426.6047124899423	TW	Tibetan Plateau
S224	1000	637.8561989983604	TW	Tibetan Plateau
S225	1000	547.4530904519071	TW	Tibetan Plateau
S1	2000	966.5357978752883	IW	Inland wetland
S2	2000	948.5092234327437	IW	Inland wetland
S3	2000	896.8826573016568	IW	Inland wetland
S4	2000	853.1099333741497	IW	Inland wetland
S5	2000	745.5024733573005	IW	Inland wetland
S6	2000	743.9887605387041	IW	Inland wetland
S7	2000	819.2129759017788	IW	Inland wetland
S9	2000	964.8065263635385	IW	Inland wetland
S10	2000	674.6813555934892	IW	Inland wetland
S11	2000	705.4075849456638	IW	Inland wetland
S12	2000	715.254051411095	IW	Inland wetland
S13	2000	763.0091747927999	IW	Inland wetland
S15	2000	898.4110149310802	IW	Inland wetland
S16	2000	902.6849996359196	IW	Inland wetland
S17	2000	844.5956018520152	IW	Inland wetland
S18	2000	969.4803490135638	IW	Inland wetland
S19	2000	977.4424751396571	IW	Inland wetland
S20	2000	997.3847646679136	IW	Inland wetland
S22	2000	861.3533369608542	IW	Inland wetland
S23	2000	922.9941417280313	IW	Inland wetland
S24	2000	841.5664408456352	IW	Inland wetland
S25	2000	751.6617268338057	IW	Inland wetland
S26	2000	910.341087765926	IW	Inland wetland
S27	2000	954.0138500106373	IW	Inland wetland
S28	2000	823.6799063187555	IW	Inland wetland
S30	2000	960.9851996633503	IW	Inland wetland
S34	2000	963.9298061677841	IW	Inland wetland
S35	2000	966.1383881870953	IW	Inland wetland
S36	2000	674.8533485926656	IW	Inland wetland
S37	2000	1084.0722518632954	IW	Inland wetland
S61	2000	812.8380744546635	CW	Coastal wetland
S62	2000	818.8905211736746	CW	Coastal wetland
S63	2000	897.3478768538117	CW	Coastal wetland
S65	2000	824.8657537446526	CW	Coastal wetland
S85	2000	765.3082712908006	CW	Coastal wetland
S86	2000	912.5466165546472	CW	Coastal wetland
S87	2000	718.7197855990048	CW	Coastal wetland
S88	2000	856.7067016392665	CW	Coastal wetland
S89	2000	582.6040971334987	CW	Coastal wetland
S112	2000	833.4516771789273	CW	Coastal wetland
S113	2000	474.2050729183895	CW	Coastal wetland
S114	2000	586.7734659440172	CW	Coastal wetland
S161	2000	868.5652528708664	CW	Coastal wetland
S162	2000	874.3487563354945	CW	Coastal wetland
S164	2000	851.8514410452796	CW	Coastal wetland
S165	2000	925.5708392218158	CW	Coastal wetland
S166	2000	892.0263439082825	CW	Coastal wetland
S167	2000	1014.6931869662014	CW	Coastal wetland
S168	2000	1006.946807670925	CW	Coastal wetland
S169	2000	941.0373307783572	CW	Coastal wetland
S170	2000	831.2512699064341	CW	Coastal wetland
S171	2000	808.2931951874709	CW	Coastal wetland
S172	2000	854.723996453799	CW	Coastal wetland
S173	2000	898.6663972088649	CW	Coastal wetland
S174	2000	812.8257917465913	CW	Coastal wetland
S175	2000	843.1890842432585	CW	Coastal wetland
S176	2000	809.5505905829584	CW	Coastal wetland
S177	2000	791.565505156662	CW	Coastal wetland
S179	2000	1055.3686032870405	CW	Coastal wetland
S182	2000	1010.2042013167505	CW	Coastal wetland
S187	2000	769.6420377808105	TW	Tibetan Plateau
S188	2000	718.0716816312344	TW	Tibetan Plateau
S191	2000	742.3458585696499	TW	Tibetan Plateau
S194	2000	576.5468991808899	TW	Tibetan Plateau
S196	2000	664.5140182762451	TW	Tibetan Plateau
S197	2000	1107.7076145598871	TW	Tibetan Plateau
S198	2000	1087.6804702071802	TW	Tibetan Plateau
S201	2000	1000.6999909094566	TW	Tibetan Plateau
S202	2000	711.0890507769706	TW	Tibetan Plateau
S203	2000	665.7868578837761	TW	Tibetan Plateau
S204	2000	932.9679845757605	TW	Tibetan Plateau
S205	2000	829.7340211949123	TW	Tibetan Plateau
S206	2000	860.3205157246836	TW	Tibetan Plateau
S207	2000	818.2932858190678	TW	Tibetan Plateau
S208	2000	822.8023761446882	TW	Tibetan Plateau
S209	2000	879.984898566991	TW	Tibetan Plateau
S210	2000	986.3952211179496	TW	Tibetan Plateau
S213	2000	1081.065809637819	TW	Tibetan Plateau
S214	2000	929.4150547417842	TW	Tibetan Plateau
S215	2000	874.9363796565689	TW	Tibetan Plateau
S216	2000	739.6115336217692	TW	Tibetan Plateau
S217	2000	824.2837841825042	TW	Tibetan Plateau
S218	2000	960.768928260212	TW	Tibetan Plateau
S219	2000	973.7185906594514	TW	Tibetan Plateau
S220	2000	1011.1291546098801	TW	Tibetan Plateau
S221	2000	964.9128808892417	TW	Tibetan Plateau
S222	2000	812.6163272280365	TW	Tibetan Plateau
S223	2000	704.709168685077	TW	Tibetan Plateau
S224	2000	1052.285284665409	TW	Tibetan Plateau
S225	2000	877.7074606305272	TW	Tibetan Plateau
S1	3000	1263.323121860314	IW	Inland wetland
S2	3000	1233.2966587974279	IW	Inland wetland
S3	3000	1166.1953452240684	IW	Inland wetland
S4	3000	1108.124951632521	IW	Inland wetland
S5	3000	977.6000579401928	IW	Inland wetland
S6	3000	966.6438062710224	IW	Inland wetland
S7	3000	1061.1097834840255	IW	Inland wetland
S9	3000	1255.151813652705	IW	Inland wetland
S10	3000	869.5075028644571	IW	Inland wetland
S11	3000	918.3895155891515	IW	Inland wetland
S12	3000	935.1215396434463	IW	Inland wetland
S13	3000	1000.154328986315	IW	Inland wetland
S15	3000	1153.2910335058134	IW	Inland wetland
S16	3000	1173.7523396897748	IW	Inland wetland
S17	3000	1090.050728176476	IW	Inland wetland
S18	3000	1259.822733071171	IW	Inland wetland
S19	3000	1274.9758062477176	IW	Inland wetland
S20	3000	1308.5950676756158	IW	Inland wetland
S22	3000	1116.9685446561207	IW	Inland wetland
S23	3000	1202.9355327050846	IW	Inland wetland
S24	3000	1100.7306886398674	IW	Inland wetland
S25	3000	964.9916421202221	IW	Inland wetland
S26	3000	1179.361086360392	IW	Inland wetland
S27	3000	1253.6786289270137	IW	Inland wetland
S28	3000	1076.840523957561	IW	Inland wetland
S30	3000	1264.4323959866879	IW	Inland wetland
S34	3000	1244.5914620519306	IW	Inland wetland
S35	3000	1248.6979718183338	IW	Inland wetland
S36	3000	884.5195882426311	IW	Inland wetland
S37	3000	1419.6656816853001	IW	Inland wetland
S61	3000	1061.9291451943818	CW	Coastal wetland
S62	3000	1082.2452974241376	CW	Coastal wetland
S63	3000	1174.1926855014076	CW	Coastal wetland
S65	3000	1084.8763339855473	CW	Coastal wetland
S85	3000	1010.6785923958596	CW	Coastal wetland
S86	3000	1203.5843220982763	CW	Coastal wetland
S87	3000	961.8604488141681	CW	Coastal wetland
S88	3000	1115.4983833693846	CW	Coastal wetland
S89	3000	779.2495999772367	CW	Coastal wetland
S112	3000	1103.9168290794732	CW	Coastal wetland
S113	3000	642.8693668832752	CW	Coastal wetland
S114	3000	779.4942294339278	CW	Coastal wetland
S161	3000	1120.057377415373	CW	Coastal wetland
S162	3000	1116.5089405746864	CW	Coastal wetland
S164	3000	1083.6927085653426	CW	Coastal wetland
S165	3000	1192.391642793141	CW	Coastal wetland
S166	3000	1145.8510595058908	CW	Coastal wetland
S167	3000	1318.0051297426576	CW	Coastal wetland
S168	3000	1318.272757434912	CW	Coastal wetland
S169	3000	1228.2731712399366	CW	Coastal wetland
S170	3000	1063.3600831446954	CW	Coastal wetland
S171	3000	1040.904518283517	CW	Coastal wetland
S172	3000	1092.5563638105582	CW	Coastal wetland
S173	3000	1155.5950508020655	CW	Coastal wetland
S174	3000	1043.9029434163117	CW	Coastal wetland
S175	3000	1069.9014679952709	CW	Coastal wetland
S176	3000	1039.112928431024	CW	Coastal wetland
S177	3000	1010.1442529448015	CW	Coastal wetland
S179	3000	1384.9932782104515	CW	Coastal wetland
S182	3000	1312.5744119877252	CW	Coastal wetland
S187	3000	996.8815670806198	TW	Tibetan Plateau
S188	3000	925.6046290296696	TW	Tibetan Plateau
S191	3000	956.7147935648818	TW	Tibetan Plateau
S194	3000	743.714213531723	TW	Tibetan Plateau
S196	3000	862.0191999215203	TW	Tibetan Plateau
S197	3000	1454.3041537269287	TW	Tibetan Plateau
S198	3000	1424.0655783856655	TW	Tibetan Plateau
S201	3000	1305.25599012673	TW	Tibetan Plateau
S202	3000	924.0155095896387	TW	Tibetan Plateau
S203	3000	861.2003321171907	TW	Tibetan Plateau
S204	3000	1205.2861325724934	TW	Tibetan Plateau
S205	3000	1081.9680437606435	TW	Tibetan Plateau
S206	3000	1112.8471701262604	TW	Tibetan Plateau
S207	3000	1057.822161036122	TW	Tibetan Plateau
S208	3000	1075.2613393310749	TW	Tibetan Plateau
S209	3000	1139.1767652465544	TW	Tibetan Plateau
S210	3000	1284.2126435886496	TW	Tibetan Plateau
S213	3000	1410.1400570614921	TW	Tibetan Plateau
S214	3000	1209.2761459877947	TW	Tibetan Plateau
S215	3000	1129.135688314341	TW	Tibetan Plateau
S216	3000	947.8373980048262	TW	Tibetan Plateau
S217	3000	1063.9055324139044	TW	Tibetan Plateau
S218	3000	1262.8349983327716	TW	Tibetan Plateau
S219	3000	1274.232173804307	TW	Tibetan Plateau
S220	3000	1319.935512714749	TW	Tibetan Plateau
S221	3000	1263.0091062858003	TW	Tibetan Plateau
S222	3000	1070.4727270093815	TW	Tibetan Plateau
S223	3000	929.8767072030074	TW	Tibetan Plateau
S224	3000	1378.1376272020334	TW	Tibetan Plateau
S225	3000	1133.6500167108447	TW	Tibetan Plateau
S1	4000	1513.7095118270533	IW	Inland wetland
S2	4000	1471.658299443357	IW	Inland wetland
S3	4000	1393.6452951458248	IW	Inland wetland
S4	4000	1324.2734015609935	IW	Inland wetland
S5	4000	1179.674749899238	IW	Inland wetland
S6	4000	1157.9752122981959	IW	Inland wetland
S7	4000	1266.5093258620327	IW	Inland wetland
S9	4000	1498.7548464926936	IW	Inland wetland
S10	4000	1036.3861842416509	IW	Inland wetland
S11	4000	1102.1713589394212	IW	Inland wetland
S12	4000	1124.999418860971	IW	Inland wetland
S13	4000	1206.1784382314772	IW	Inland wetland
S15	4000	1366.5097156234492	IW	Inland wetland
S16	4000	1403.6847689198307	IW	Inland wetland
S17	4000	1297.745563851931	IW	Inland wetland
S18	4000	1502.4142662718953	IW	Inland wetland
S19	4000	1523.769398211797	IW	Inland wetland
S20	4000	1573.3077826869753	IW	Inland wetland
S22	4000	1334.5058109457166	IW	Inland wetland
S23	4000	1440.2432591682204	IW	Inland wetland
S24	4000	1323.6782805762423	IW	Inland wetland
S25	4000	1145.118261145224	IW	Inland wetland
S26	4000	1404.7321830679518	IW	Inland wetland
S27	4000	1509.1887055505795	IW	Inland wetland
S28	4000	1295.1899863352396	IW	Inland wetland
S30	4000	1525.0314134633975	IW	Inland wetland
S34	4000	1477.5705068137702	IW	Inland wetland
S35	4000	1484.9352934017418	IW	Inland wetland
S36	4000	1071.1143237561766	IW	Inland wetland
S37	4000	1702.136493435217	IW	Inland wetland
S61	4000	1276.917409057631	CW	Coastal wetland
S62	4000	1309.9716127133609	CW	Coastal wetland
S63	4000	1409.754092457949	CW	Coastal wetland
S65	4000	1308.4148656622383	CW	Coastal wetland
S85	4000	1224.1868681891772	CW	Coastal wetland
S86	4000	1456.2899855626579	CW	Coastal wetland
S87	4000	1175.6776997624281	CW	Coastal wetland
S88	4000	1338.1420166000605	CW	Coastal wetland
S89	4000	954.7268634217199	CW	Coastal wetland
S112	4000	1339.4523421474653	CW	Coastal wetland
S113	4000	796.0836950288729	CW	Coastal wetland
S114	4000	949.5366199440072	CW	Coastal wetland
S161	4000	1331.2651093777554	CW	Coastal wetland
S162	4000	1318.092818834365	CW	Coastal wetland
S164	4000	1275.1602333470314	CW	Coastal wetland
S165	4000	1414.5857230021713	CW	Coastal wetland
S166	4000	1356.8391098593027	CW	Coastal wetland
S167	4000	1570.4747554095118	CW	Coastal wetland
S168	4000	1579.369275671573	CW	Coastal wetland
S169	4000	1468.4901800748778	CW	Coastal wetland
S170	4000	1256.5306033409722	CW	Coastal wetland
S171	4000	1236.873589049696	CW	Coastal wetland
S172	4000	1291.372793552905	CW	Coastal wetland
S173	4000	1369.6741369950296	CW	Coastal wetland
S174	4000	1237.345922001053	CW	Coastal wetland
S175	4000	1257.2474196381725	CW	Coastal wetland
S176	4000	1232.4762675457728	CW	Coastal wetland
S177	4000	1192.610255679456	CW	Coastal wetland
S179	4000	1660.6612621973918	CW	Coastal wetland
S182	4000	1563.0472170252197	CW	Coastal wetland
S187	4000	1188.56311916081	TW	Tibetan Plateau
S188	4000	1101.6347159788806	TW	Tibetan Plateau
S191	4000	1138.078116824098	TW	Tibetan Plateau
S194	4000	887.9442764464299	TW	Tibetan Plateau
S196	4000	1031.6888463345178	TW	Tibetan Plateau
S197	4000	1745.2781629754404	TW	Tibetan Plateau
S198	4000	1706.5686631250953	TW	Tibetan Plateau
S201	4000	1561.350642478434	TW	Tibetan Plateau
S202	4000	1105.521881265921	TW	Tibetan Plateau
S203	4000	1029.3735605586016	TW	Tibetan Plateau
S204	4000	1430.9208290680376	TW	Tibetan Plateau
S205	4000	1296.2796114435614	TW	Tibetan Plateau
S206	4000	1323.9713233644738	TW	Tibetan Plateau
S207	4000	1259.38157178248	TW	Tibetan Plateau
S208	4000	1289.7679089821866	TW	Tibetan Plateau
S209	4000	1356.6810011110645	TW	Tibetan Plateau
S210	4000	1533.008522729714	TW	Tibetan Plateau
S213	4000	1685.1971475155926	TW	Tibetan Plateau
S214	4000	1445.8491982482194	TW	Tibetan Plateau
S215	4000	1340.8508520026492	TW	Tibetan Plateau
S216	4000	1123.0436131971753	TW	Tibetan Plateau
S217	4000	1265.129629769805	TW	Tibetan Plateau
