BiologicalSampleID	Block	Warming	Clipping	Treatment	PCoA1	PCoA2	SpatialMedianPCoA1	SpatialMedianPCoA2	DistanceToSpatialMedian
1UC	Block 1	Ambient	Unclipped	Ambient + Unclipped	-0.16037812250406533	0.04755968377817721	-0.02433510152190255	-0.026318268532325148	0.4781633290527444
1CC	Block 1	Ambient	Clipped	Ambient + Clipped	-0.19316189084046073	0.0760214913135676	-0.036909782561513775	0.013912093437617732	0.3818424296844298
1UW	Block 1	Warmed	Unclipped	Warmed + Unclipped	-0.1991243594915823	0.1560433881969035	-0.05111192610668794	-0.026388266568519416	0.4835051727471169
1CW	Block 1	Warmed	Clipped	Warmed + Clipped	-0.18140065964395896	0.12398338028254109	0.001874680680561542	0.03142278612368879	0.44019695570377304
2UC	Block 2	Ambient	Unclipped	Ambient + Unclipped	-0.212795176248792	0.1343608428564265	-0.02433510152190255	-0.026318268532325148	0.4303425465534578
2CC	Block 2	Ambient	Clipped	Ambient + Clipped	-0.17219294736498128	0.1832589704914344	-0.036909782561513775	0.013912093437617732	0.4580481390594185
2UW	Block 2	Warmed	Unclipped	Warmed + Unclipped	-0.1782845737367117	0.0441594054415349	-0.05111192610668794	-0.026388266568519416	0.3893582559581209
2CW	Block 2	Warmed	Clipped	Warmed + Clipped	-0.1479237067303992	0.1638071486287298	0.001874680680561542	0.03142278612368879	0.533243273286622
3UC	Block 3	Ambient	Unclipped	Ambient + Unclipped	-0.2100234385691816	0.010182572238066434	-0.02433510152190255	-0.026318268532325148	0.485003663811784
3CC	Block 3	Ambient	Clipped	Ambient + Clipped	-0.2182933234594959	0.019471789089002656	-0.036909782561513775	0.013912093437617732	0.40071170607570755
3UW	Block 3	Warmed	Unclipped	Warmed + Unclipped	-0.18902185906457145	-0.005426506304361614	-0.05111192610668794	-0.026388266568519416	0.4124268166702975
3CW	Block 3	Warmed	Clipped	Warmed + Clipped	-0.20383718170417583	0.040705669441251306	0.001874680680561542	0.03142278612368879	0.4267367556716725
4UC	Block 4	Ambient	Unclipped	Ambient + Unclipped	-0.09574895587901132	-0.3079435829916039	-0.02433510152190255	-0.026318268532325148	0.4750605227196622
4CC	Block 4	Ambient	Clipped	Ambient + Clipped	-0.12135316281896204	-0.2618631393187614	-0.036909782561513775	0.013912093437617732	0.47236255899984625
4UW	Block 4	Warmed	Unclipped	Warmed + Unclipped	-0.1506401582905654	-0.23680983837750455	-0.05111192610668794	-0.026388266568519416	0.4055865357417509
4CW	Block 4	Warmed	Clipped	Warmed + Clipped	-0.09743882220328434	-0.23248304681198118	0.001874680680561542	0.03142278612368879	0.47558154882471804
5UC	Block 5	Ambient	Unclipped	Ambient + Unclipped	0.4540107549222449	0.03157618993708187	-0.02433510152190255	-0.026318268532325148	0.6360250403740404
5CC	Block 5	Ambient	Clipped	Ambient + Clipped	0.41908157620532427	0.07022089600145537	-0.036909782561513775	0.013912093437617732	0.6255818465794702
5UW	Block 5	Warmed	Unclipped	Warmed + Unclipped	0.42198400967674826	0.024161411965251057	-0.05111192610668794	-0.026388266568519416	0.619920398004818
5CW	Block 5	Warmed	Clipped	Warmed + Clipped	0.4044110919370531	0.03927034905625581	0.001874680680561542	0.03142278612368879	0.5441933739987408
6UC	Block 6	Ambient	Unclipped	Ambient + Unclipped	0.21044701048161452	-0.07357061730799026	-0.02433510152190255	-0.026318268532325148	0.46626222664050365
6CC	Block 6	Ambient	Clipped	Ambient + Clipped	0.2970076513423663	-0.014929966081602563	-0.036909782561513775	0.013912093437617732	0.5500505685104116
6UW	Block 6	Warmed	Unclipped	Warmed + Unclipped	0.1382261865826074	-0.09888435202920336	-0.05111192610668794	-0.026388266568519416	0.4213423485227088
6CW	Block 6	Warmed	Clipped	Warmed + Clipped	0.3864500574022418	0.0671278605053294	0.001874680680561542	0.03142278612368879	0.593061219007054
