Variable1	Variable2	PearsonR	AbsR	Diagonal	UniquePair	HighCollinearity
Latitude	Latitude	1	1	TRUE	FALSE	FALSE
Longitude	Latitude	0.48372043196967157	0.48372043196967157	FALSE	FALSE	FALSE
Altitude	Latitude	-0.12754367142746031	0.12754367142746031	FALSE	FALSE	FALSE
Temperature	Latitude	-0.8454553278566243	0.8454553278566243	FALSE	FALSE	FALSE
Precipitation	Latitude	-0.7070907389744525	0.7070907389744525	FALSE	FALSE	FALSE
TOC	Latitude	0.27266113726817415	0.27266113726817415	FALSE	FALSE	FALSE
NH4	Latitude	-0.17924872722395818	0.17924872722395818	FALSE	FALSE	FALSE
NO3	Latitude	0.2449052551221527	0.2449052551221527	FALSE	FALSE	FALSE
pH	Latitude	-0.10572213424441144	0.10572213424441144	FALSE	FALSE	FALSE
Conductivity	Latitude	-0.5506013825280752	0.5506013825280752	FALSE	FALSE	FALSE
TN	Latitude	0.30352133249731744	0.30352133249731744	FALSE	FALSE	FALSE
Latitude	Longitude	0.48372043196967157	0.48372043196967157	FALSE	TRUE	FALSE
Longitude	Longitude	1	1	TRUE	FALSE	FALSE
Altitude	Longitude	-0.8637497748590467	0.8637497748590467	FALSE	FALSE	FALSE
Temperature	Longitude	-0.002971246256250613	0.002971246256250613	FALSE	FALSE	FALSE
Precipitation	Longitude	0.1824211177256852	0.1824211177256852	FALSE	FALSE	FALSE
TOC	Longitude	0.09637657330475358	0.09637657330475358	FALSE	FALSE	FALSE
NH4	Longitude	-0.2798272103521126	0.2798272103521126	FALSE	FALSE	FALSE
NO3	Longitude	0.13675305328643533	0.13675305328643533	FALSE	FALSE	FALSE
pH	Longitude	-0.3462681854594421	0.3462681854594421	FALSE	FALSE	FALSE
Conductivity	Longitude	-0.03065965508940718	0.03065965508940718	FALSE	FALSE	FALSE
TN	Longitude	0.09092753389474321	0.09092753389474321	FALSE	FALSE	FALSE
Latitude	Altitude	-0.12754367142746031	0.12754367142746031	FALSE	TRUE	FALSE
Longitude	Altitude	-0.8637497748590467	0.8637497748590467	FALSE	TRUE	TRUE
Altitude	Altitude	1	1	TRUE	FALSE	FALSE
Temperature	Altitude	-0.40344270167190854	0.40344270167190854	FALSE	FALSE	FALSE
Precipitation	Altitude	-0.4693700241141261	0.4693700241141261	FALSE	FALSE	FALSE
TOC	Altitude	-0.0038674738778099313	0.0038674738778099313	FALSE	FALSE	FALSE
NH4	Altitude	0.26828630214130367	0.26828630214130367	FALSE	FALSE	FALSE
NO3	Altitude	0.013784268614375044	0.013784268614375044	FALSE	FALSE	FALSE
pH	Altitude	0.3161867504586602	0.3161867504586602	FALSE	FALSE	FALSE
Conductivity	Altitude	-0.26494430097518706	0.26494430097518706	FALSE	FALSE	FALSE
TN	Altitude	0.031332570389041914	0.031332570389041914	FALSE	FALSE	FALSE
Latitude	Temperature	-0.8454553278566243	0.8454553278566243	FALSE	TRUE	TRUE
Longitude	Temperature	-0.002971246256250613	0.002971246256250613	FALSE	TRUE	FALSE
Altitude	Temperature	-0.40344270167190854	0.40344270167190854	FALSE	TRUE	FALSE
Temperature	Temperature	1	1	TRUE	FALSE	FALSE
Precipitation	Temperature	0.85406152703561	0.85406152703561	FALSE	FALSE	FALSE
TOC	Temperature	-0.29106498863662195	0.29106498863662195	FALSE	FALSE	FALSE
NH4	Temperature	0.04902234733154788	0.04902234733154788	FALSE	FALSE	FALSE
NO3	Temperature	-0.26794087977756187	0.26794087977756187	FALSE	FALSE	FALSE
pH	Temperature	-0.005732305501093674	0.005732305501093674	FALSE	FALSE	FALSE
Conductivity	Temperature	0.6328546395971294	0.6328546395971294	FALSE	FALSE	FALSE
TN	Temperature	-0.33515976330875535	0.33515976330875535	FALSE	FALSE	FALSE
Latitude	Precipitation	-0.7070907389744525	0.7070907389744525	FALSE	TRUE	FALSE
Longitude	Precipitation	0.1824211177256852	0.1824211177256852	FALSE	TRUE	FALSE
Altitude	Precipitation	-0.4693700241141261	0.4693700241141261	FALSE	TRUE	FALSE
Temperature	Precipitation	0.85406152703561	0.85406152703561	FALSE	TRUE	TRUE
Precipitation	Precipitation	1	1	TRUE	FALSE	FALSE
TOC	Precipitation	-0.055285517470815934	0.055285517470815934	FALSE	FALSE	FALSE
NH4	Precipitation	0.022756358154938445	0.022756358154938445	FALSE	FALSE	FALSE
NO3	Precipitation	-0.1621340195934285	0.1621340195934285	FALSE	FALSE	FALSE
pH	Precipitation	-0.3374362684841812	0.3374362684841812	FALSE	FALSE	FALSE
Conductivity	Precipitation	0.504066351627684	0.504066351627684	FALSE	FALSE	FALSE
TN	Precipitation	-0.09729686454761731	0.09729686454761731	FALSE	FALSE	FALSE
Latitude	TOC	0.27266113726817415	0.27266113726817415	FALSE	TRUE	FALSE
Longitude	TOC	0.09637657330475358	0.09637657330475358	FALSE	TRUE	FALSE
Altitude	TOC	-0.0038674738778099313	0.0038674738778099313	FALSE	TRUE	FALSE
Temperature	TOC	-0.29106498863662195	0.29106498863662195	FALSE	TRUE	FALSE
Precipitation	TOC	-0.055285517470815934	0.055285517470815934	FALSE	TRUE	FALSE
TOC	TOC	1	1	TRUE	FALSE	FALSE
NH4	TOC	0.042802105953327146	0.042802105953327146	FALSE	FALSE	FALSE
