SampleID	CountTable	Metadata	Environment	LibraryReads	Group	Type	Saline	CompleteEnvironment
S1	TRUE	TRUE	TRUE	25542	Inland wetland	NE	Non-saline soil	TRUE
S2	TRUE	TRUE	TRUE	26764	Inland wetland	NE	Non-saline soil	TRUE
S3	TRUE	TRUE	TRUE	12843	Inland wetland	NE	Non-saline soil	TRUE
S4	TRUE	TRUE	TRUE	13280	Inland wetland	NE	Non-saline soil	TRUE
S5	TRUE	TRUE	TRUE	17640	Inland wetland	NE	Non-saline soil	TRUE
S6	TRUE	TRUE	TRUE	22525	Inland wetland	NE	Non-saline soil	TRUE
S7	TRUE	TRUE	TRUE	17370	Inland wetland	NE	Non-saline soil	TRUE
S9	TRUE	TRUE	TRUE	25295	Inland wetland	NE	Non-saline soil	TRUE
S10	TRUE	TRUE	TRUE	31793	Inland wetland	NE	Non-saline soil	TRUE
S11	TRUE	TRUE	TRUE	16285	Inland wetland	NE	Non-saline soil	TRUE
S12	TRUE	TRUE	TRUE	11457	Inland wetland	NE	Non-saline soil	TRUE
S13	TRUE	TRUE	TRUE	13580	Inland wetland	NE	Non-saline soil	TRUE
S15	TRUE	TRUE	TRUE	20864	Inland wetland	NW	Non-saline soil	TRUE
S16	TRUE	TRUE	TRUE	14312	Inland wetland	NW	Non-saline soil	TRUE
S17	TRUE	TRUE	TRUE	28215	Inland wetland	NW	Non-saline soil	TRUE
S18	TRUE	TRUE	TRUE	27945	Inland wetland	NW	Non-saline soil	TRUE
S19	TRUE	TRUE	TRUE	15540	Inland wetland	NW	Non-saline soil	TRUE
S20	TRUE	TRUE	TRUE	17170	Inland wetland	NW	Non-saline soil	TRUE
S22	TRUE	TRUE	TRUE	21718	Inland wetland	NE	Non-saline soil	TRUE
S23	TRUE	TRUE	TRUE	16485	Inland wetland	NE	Non-saline soil	TRUE
S24	TRUE	TRUE	TRUE	12309	Inland wetland	NE	Non-saline soil	TRUE
S25	TRUE	TRUE	TRUE	37374	Inland wetland	NE	Non-saline soil	TRUE
S26	TRUE	TRUE	TRUE	35104	Inland wetland	NE	Non-saline soil	TRUE
S27	TRUE	TRUE	TRUE	16624	Inland wetland	NE	Non-saline soil	TRUE
S28	TRUE	TRUE	TRUE	25853	Inland wetland	NE	Non-saline soil	TRUE
S30	TRUE	TRUE	TRUE	12291	Inland wetland	NE	Non-saline soil	TRUE
S34	TRUE	TRUE	TRUE	18989	Inland wetland	NE	Non-saline soil	TRUE
S35	TRUE	TRUE	TRUE	11275	Inland wetland	NE	Non-saline soil	TRUE
S36	TRUE	TRUE	TRUE	13034	Inland wetland	NE	Non-saline soil	TRUE
S37	TRUE	TRUE	TRUE	16809	Inland wetland	NE	Non-saline soil	TRUE
S61	TRUE	TRUE	TRUE	14698	Coastal wetland	NC	Saline soil	TRUE
S62	TRUE	TRUE	TRUE	15680	Coastal wetland	NC	Saline soil	TRUE
S63	TRUE	TRUE	TRUE	15609	Coastal wetland	NC	Saline soil	TRUE
S65	TRUE	TRUE	TRUE	34398	Coastal wetland	NC	Saline soil	TRUE
S85	TRUE	TRUE	TRUE	15864	Coastal wetland	NC	Saline soil	TRUE
S86	TRUE	TRUE	TRUE	15086	Coastal wetland	NC	Saline soil	TRUE
S87	TRUE	TRUE	TRUE	13090	Coastal wetland	NC	Saline soil	TRUE
S88	TRUE	TRUE	TRUE	15375	Coastal wetland	NC	Saline soil	TRUE
S89	TRUE	TRUE	TRUE	20685	Coastal wetland	NC	Saline soil	TRUE
S112	TRUE	TRUE	TRUE	18765	Coastal wetland	YML	Saline soil	TRUE
S113	TRUE	TRUE	TRUE	31578	Coastal wetland	YML	Saline soil	TRUE
S114	TRUE	TRUE	TRUE	30628	Coastal wetland	YML	Saline soil	TRUE
S161	TRUE	TRUE	TRUE	14746	Coastal wetland	SC	Saline soil	TRUE
S162	TRUE	TRUE	TRUE	20882	Coastal wetland	SC	Saline soil	TRUE
S164	TRUE	TRUE	TRUE	10674	Coastal wetland	SC	Saline soil	TRUE
S165	TRUE	TRUE	TRUE	13592	Coastal wetland	SC	Saline soil	TRUE
S166	TRUE	TRUE	TRUE	14975	Coastal wetland	SC	Saline soil	TRUE
S167	TRUE	TRUE	TRUE	12562	Coastal wetland	SC	Saline soil	TRUE
S168	TRUE	TRUE	TRUE	10364	Coastal wetland	SC	Saline soil	TRUE
S169	TRUE	TRUE	TRUE	21929	Coastal wetland	SC	Saline soil	TRUE
S170	TRUE	TRUE	TRUE	13259	Coastal wetland	SC	Saline soil	TRUE
S171	TRUE	TRUE	TRUE	15143	Coastal wetland	SC	Saline soil	TRUE
S172	TRUE	TRUE	TRUE	15230	Coastal wetland	SC	Saline soil	TRUE
S173	TRUE	TRUE	TRUE	11362	Coastal wetland	SC	Saline soil	TRUE
S174	TRUE	TRUE	TRUE	12288	Coastal wetland	SC	Saline soil	TRUE
S175	TRUE	TRUE	TRUE	12201	Coastal wetland	SC	Saline soil	TRUE
S176	TRUE	TRUE	TRUE	14640	Coastal wetland	SC	Saline soil	TRUE
S177	TRUE	TRUE	TRUE	11140	Coastal wetland	SC	Saline soil	TRUE
S179	TRUE	TRUE	TRUE	10365	Coastal wetland	SC	Saline soil	TRUE
S182	TRUE	TRUE	TRUE	13019	Coastal wetland	SC	Saline soil	TRUE
S187	TRUE	TRUE	TRUE	25908	Tibetan Plateau	QTP	Saline soil	TRUE
S188	TRUE	TRUE	TRUE	15143	Tibetan Plateau	QTP	Saline soil	TRUE
S191	TRUE	TRUE	TRUE	11594	Tibetan Plateau	QTP	Saline soil	TRUE
S194	TRUE	TRUE	TRUE	14479	Tibetan Plateau	QTP	Saline soil	TRUE
S196	TRUE	TRUE	TRUE	16626	Tibetan Plateau	QTP	Saline soil	TRUE
S197	TRUE	TRUE	TRUE	14934	Tibetan Plateau	QTP	Saline soil	TRUE
S198	TRUE	TRUE	TRUE	17006	Tibetan Plateau	QTP	Saline soil	TRUE
S201	TRUE	TRUE	TRUE	31839	Tibetan Plateau	QTP	Saline soil	TRUE
S202	TRUE	TRUE	TRUE	21086	Tibetan Plateau	QTP	Saline soil	TRUE
S203	TRUE	TRUE	TRUE	16941	Tibetan Plateau	QTP	Saline soil	TRUE
S204	TRUE	TRUE	TRUE	11920	Tibetan Plateau	QTP	Saline soil	TRUE
S205	TRUE	TRUE	TRUE	12491	Tibetan Plateau	QTP	Saline soil	TRUE
S206	TRUE	TRUE	TRUE	10672	Tibetan Plateau	QTP	Saline soil	TRUE
S207	TRUE	TRUE	TRUE	16427	Tibetan Plateau	QTP	Saline soil	TRUE
S208	TRUE	TRUE	TRUE	11223	Tibetan Plateau	QTP	Saline soil	TRUE
S209	TRUE	TRUE	TRUE	12991	Tibetan Plateau	QTP	Saline soil	TRUE
S210	TRUE	TRUE	TRUE	25846	Tibetan Plateau	QTP	Saline soil	TRUE
S213	TRUE	TRUE	TRUE	15440	Tibetan Plateau	QTP	Saline soil	TRUE
S214	TRUE	TRUE	TRUE	16604	Tibetan Plateau	QTP	Saline soil	TRUE
S215	TRUE	TRUE	TRUE	18461	Tibetan Plateau	QTP	Saline soil	TRUE
