Taxon	SampleID	RelativeAbundance	Percent	GroupCode	Group	Type	SampleOrder
Proteobacteria	S1	0.19971028110562994	19.971028110562994	IW	Inland wetland	Northeast	1
Chloroflexi	S1	0.12035079476939942	12.035079476939941	IW	Inland wetland	Northeast	1
Bacteroidetes	S1	0.18072194816380863	18.07219481638086	IW	Inland wetland	Northeast	1
Acidobacteria	S1	0.11882389789366533	11.882389789366533	IW	Inland wetland	Northeast	1
Actinobacteria	S1	0.1217602380393078	12.17602380393078	IW	Inland wetland	Northeast	1
Firmicutes	S1	0.023138360347662673	2.3138360347662674	IW	Inland wetland	Northeast	1
Verrucomicrobia	S1	0.12023334116357372	12.023334116357372	IW	Inland wetland	Northeast	1
Planctomycetes	S1	0.02247278991465038	2.247278991465038	IW	Inland wetland	Northeast	1
Gemmatimonadetes	S1	0.02627045650301464	2.627045650301464	IW	Inland wetland	Northeast	1
Nitrospirae	S1	0.01229347740975648	1.229347740975648	IW	Inland wetland	Northeast	1
Other known phyla	S1	0.05050505050505052	5.050505050505052	IW	Inland wetland	Northeast	1
Unknown phylum	S1	0.0037193641844804636	0.37193641844804637	IW	Inland wetland	Northeast	1
Proteobacteria	S2	0.20497683455387836	20.497683455387836	IW	Inland wetland	Northeast	2
Chloroflexi	S2	0.18838738604095054	18.838738604095052	IW	Inland wetland	Northeast	2
Bacteroidetes	S2	0.03265580630697953	3.265580630697953	IW	Inland wetland	Northeast	2
Acidobacteria	S2	0.2476834553878344	24.76834553878344	IW	Inland wetland	Northeast	2
Actinobacteria	S2	0.08384396951128381	8.38439695112838	IW	Inland wetland	Northeast	2
Firmicutes	S2	0.013301449708563742	1.3301449708563742	IW	Inland wetland	Northeast	2
Verrucomicrobia	S2	0.11268868629502317	11.268868629502316	IW	Inland wetland	Northeast	2
Planctomycetes	S2	0.04121207592288148	4.121207592288148	IW	Inland wetland	Northeast	2
Gemmatimonadetes	S2	0.026117172321028247	2.6117172321028246	IW	Inland wetland	Northeast	2
Nitrospirae	S2	0.019989538185622477	1.9989538185622477	IW	Inland wetland	Northeast	2
Other known phyla	S2	0.027013899267673	2.7013899267673	IW	Inland wetland	Northeast	2
Unknown phylum	S2	0.002129726498281273	0.21297264982812733	IW	Inland wetland	Northeast	2
Proteobacteria	S3	0.2106984349451063	21.06984349451063	IW	Inland wetland	Northeast	3
Chloroflexi	S3	0.16623841781515222	16.62384178151522	IW	Inland wetland	Northeast	3
