Genus	S1	S2	S3	S4	S5	S6	S7	S9	S10	S11	S12	S13	S22	S23	S24	S25	S26	S27	S28	S30	S34	S35	S36	S37	S15	S16	S17	S18	S19	S20	S61	S62	S63	S65	S85	S86	S87	S88	S89	S161	S162	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S179	S182	S112	S113	S114	S187	S188	S191	S194	S196	S197	S198	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225
Sphingomonas	3.642669057905932	3.5764990561498826	3.445747992046705	3.765115109508356	3.3194083781183004	3.0849194172507444	3.1046357283821173	4.0315273410775365	2.8539268361782817	3.057017696697297	3.3648971908770835	3.743299299043488	3.4464746728022297	4.01809482401002	4.085871853908407	3.5774879932249943	4.854651171143753	5.600234737621797	3.834188368878282	3.6054584907553897	6.1840754870937165	6.193776205471897	3.354108240394475	6.09093711310876	4.813972122417341	4.607342224509284	5.10867829919376	4.803626456599665	5.316661591199246	4.513863049118126	3.9117481003163097	3.702309277144027	3.658386892331119	3.5219610710928824	3.5009902329559943	3.5871764189481214	3.3764213685988995	3.689489024385783	3.22573645246585	3.8084331532378295	3.8185024310630444	3.5475120922076226	4.163132063069922	3.2724403277574	5.004386441625454	4.792851725205993	3.880032382821507	3.2242433983132486	3.7043163821285416	3.631502793911607	3.5891991512922563	3.4885450736193437	3.3042222918162647	3.499648838745762	3.263262016637377	4.268708561949253	4.621261696396648	3.857839426025172	3.7111593300021637	3.4864684586217787	2.8677392334525966	2.82428579331687	3.153820581212232	4.387329731871737	4.526376647655262	5.961098873966926	5.978831575558782	5.3020853459464306	3.3988328317002328	3.102351957168266	4.196242714974348	4.6772737374661615	5.171760949590347	4.790119625521404	4.480974290208533	4.750955591697498	5.942649069223438	5.427958429623436	4.41044047912365	6.514494870675579	6.65715791071783	5.783149598498122	4.927434441287746	6.440536330750947	5.157274312307437	6.03397721537259	5.705006307482575	5.552130285741619	6.188893251982596	4.909196471575071
Clostridium sensu stricto 13	4.353323047635381	4.384659170096726	4.664529322143764	4.1744799440071905	3.618488618564031	3.1050195864450583	3.3135472912917554	4.175068230684627	3.333987903100276	3.4368553131052515	3.4788322135753913	3.551722730817816	4.108546274700559	3.9147308917523658	3.6473027302773016	2.9405842462842973	3.192908014873609	4.24241326162749	3.4996719840433888	4.663013012866899	2.9394318832070407	3.4670515557956523	3.479891226156522	3.5527849263232656	3.7541665925903094	4.134956361371694	3.6885382653113674	3.890826599974242	3.4822098199651235	4.157325741454335	5.192600729973189	6.241746696740823	6.639433892887814	6.831873655065573	7.375134122566574	5.54597205031278	7.971466860469008	5.769412879146922	7.603092107888776	1.3117324470994556	2.0417836331452626	2.1394597787982748	1.8164664373621788	1.947340082568744	1.220285452378291	2.53199227505772	1.3180430567830204	1.837279663992819	1.8378426440109317	1.2882391170060257	1.6865162969169956	1.4481437228322214	1.4535837362000237	1.4850759056796745	1.5240247353639027	1.5808617435069015	1.7243098523403395	3.6029067062273823	3.329252807859632	3.5062587798449156	2.5622855116260523	3.767315153442944	4.248512492202455	1.7638036589673953	1.5279687096332835	2.401904901265731	1.6324108588302124	2.607360880146747	2.7537688472063815	2.4531674721365913	2.8779911833266105	1.8876808114969261	1.557750000623016	2.1168633504754104	2.6648232557613447	1.7260793358630129	1.4098293574393244	2.17156719322825	2.568427171426264	1.7707302625709143	0	1.8973094883431154	3.7402254916396207	2.706921595975511	2.8895903091343813	2.760102801283617	2.186929255514928	1.2605674440499253	2.7313624970656667	2.2551731367402854
Thiobacillus	2.8362670764409255	2.4390210214007886	2.979969826913989	3.222723833464374	3.1644507668432644	2.529141238751813	2.6561406112370483	3.1242762049699024	2.4856324371484524	2.489323245981974	2.8160623434147	2.965758805085193	2.8127234929237246	2.704850263180519	2.117666943499303	1.967673151830061	2.9264789175643946	3.2450556288883483	3.8173224722661385	3.7683230450441476	2.5325576616244407	2.7206825665002206	2.0674977029367687	2.6867003008897954	3.7428780582416046	5.526009528721453	3.2778366184074588	4.00796409597628	3.2368345749543774	3.281891638060495	4.337558404049737	5.201171318895663	4.77812055207278	4.718971689818667	5.799234761448991	5.218266870165923	3.925062147657652	4.76578079172875	3.6807305574747224	3.713836675597372	3.2356522304567816	2.9825010370877187	3.5295234706916823	3.594357778049966	3.515659797561093	3.8769975708588675	4.716820378927649	3.4149024682845592	3.5461322274805296	3.1494983001039047	3.3729369792256545	3.2027570289256455	2.8560160231109255	2.637494829297367	3.3613349306224007	4.042306243798463	3.693207963361678	2.893313219069381	2.8233892658834074	2.595773071897383	6.907674528462368	6.640803203541177	6.762009720905469	2.942175431491577	3.0080047866831405	3.7655074933652477	4.009123462669475	3.4784059726713	4.441968105620246	5.445879310914841	5.98597973432707	5.636221323630941	5.793086739874596	5.232597815077327	4.216961106380689	3.803914938824943	3.0861661062727435	3.821860177012997	5.192248604747089	5.9363552405242626	6.076996480225632	6.169222839822638	3.479242242918647	4.078042129435748	4.567572086985468	4.087023277705232	4.239110434557687	4.6929400496225515	3.7724672196734446	6.424605624031843
Bacillus	1.9275541744396032	1.555269389100082	1.9781109787111486	1.3893018821838459	2.791540647655648	1.6936892873012097	2.3783406913574074	1.8771250085917204	1.8479962797394291	1.875879726596892	2.51339488706302	2.755413347612849	2.3673797052899586	2.4258999303711706	2.37480939388989	2.1070899716759786	2.2855307367871984	2.363175744919124	4.959830608425824	2.640317620462019	2.6508106224291423	3.142985607091825	2.463098791016768	2.9674614451350596	2.9303344876486426	4.96171823534726	4.534206436100357	3.749741909832926	4.6923392082087165	6.5964748697833215	5.5269426678650095	3.3245220140031875	2.4757946395794654	3.393861978806805	3.022427725192187	2.263559508621076	5.484289623459451	3.4725722378180177	2.110410952563707	4.970435685235084	4.820866093395436	5.022786513172846	5.137075189774175	5.253932759105765	5.051329657482034	4.9949226318876105	5.3354964163900815	4.831857642567515	5.2287758827939275	5.138163256749922	5.104147332847194	5.113202850572188	5.447291511278109	5.9204643930558145	4.992604166784964	5.277536112941141	5.309476546658318	3.462875768016407	3.6050740288975427	3.370012208621518	4.730220252772916	4.990038083223538	4.9282669393826515	4.785763035301712	5.015725169631024	4.924358517012749	4.874847138497592	4.808511305992157	4.615777674769627	4.589008769844225	5.318218686170968	4.932307151261599	4.840734036186725	5.100756519721223	5.1002200596840845	4.916166419905596	4.7494825526540945	4.9707483832621895	4.911972677090198	4.947014226888592	4.932916406185091	4.787712826657711	5.376249089534251	5.010100531359411	5.0175610214413515	5.294364329009261	4.883133927333323	5.041276294353202	5.096720805771099	4.746829700961103
Candidatus Solibacter	5.596854973849396	5.332107792635361	5.703767680495534	6.3355027538281785	5.345281006710739	5.750759958031079	6.630752498262933	5.780708740345621	6.465601307285472	6.289564037631202	6.6291912094938645	6.670669252496613	5.722984534149417	6.1184037974455805	5.406224843110978	4.575288973989269	3.107501108990782	3.4364679028331806	2.9334794606323937	3.786935470496372	4.4997973824390165	3.596674205116742	2.642110600023698	3.1864293305722233	2.5998453806654647	3.180449876856285	2.7874847548586135	3.2599872031704717	3.3331692955853027	3.6138728210388806	2.890878123374371	2.5240946570166005	2.941189964183675	2.7616821738469746	2.6558806570071014	3.3617765512663733	2.7418006506232095	3.0210195932686403	2.9884176973726606	2.284008622652356	2.3587410784033165	2.5786342787987087	1.8164664373621788	2.664139598295447	2.0997911097300643	2.3654457310086974	2.268441351163311	2.2296112654365916	2.1887950981039404	2.4983311292275614	2.3685033606640786	2.5807493582283234	2.125423546864349	2.1416720735892727	2.386404667053663	3.0568505166027573	2.586991586141616	2.6239268813268333	2.567537876980289	2.4088763494672967	2.4011182794279344	2.8627309241092727	2.5707181716710954	1.7638036589673953	2.567204629188579	3.922989835595864	3.7274729294599034	3.1618302518355983	2.204114275334559	2.679412722339285	3.050893915155566	2.9659562113029843	3.674229943467843	3.3023495705499304	2.7817630730869594	3.4591689909424383	3.5230344262921633	3.3843024400461963	2.7761207811921986	3.574244895128475	3.2018498871863317	4.131712513093347	2.8164601068914075	3.99149396437967	4.037353218339061	3.6627659776932022	3.2740450144374327	3.674192692803252	4.860090094992065	3.425308250225031
Arthrobacter	2.378415910990309	2.4058795092154277	2.4089472091950817	2.5686496392043927	2.756156259892738	2.290413651350594	1.8215362331930305	2.845417214417118	2.0693611816139494	2.5390142690593884	2.4400789050336975	2.604052417660395	2.6955339756359855	3.3211049642639123	2.447670047629644	3.52372704673992	4.501626109345283	5.039499261302001	3.7559456134770905	2.5169258770285285	4.202115935290828	5.28774056455823	3.004721973478491	4.322341961903304	3.7428780582416046	4.318337389467922	3.7570455913695224	6.293399435076482	5.924871578986345	3.9560816898169504	2.633824292117133	2.5240946570166005	2.3617819173241807	2.3602482537422365	2.4056585778403212	2.4515101203520286	2.83572669756275	2.4341837247300435	1.985782765264093	2.6784840748137717	2.102085715955269	2.2440766958238623	2.4878941388478824	2.1987074321028377	2.6200802081530807	3.056942461854626	3.0257151260930146	2.8674728570594845	2.4480644041266775	2.4428322298132574	2.7135038238315947	2.8953506620011895	2.3828055760923	2.35734232636691	2.205963461152699	2.0481440121333616	2.696378800740031	3.239216439009737	5.524885031786881	5.0228429199750275	1.9707001263699842	1.7267938168864594	2.6946434984900645	2.2287087292234578	2.736652036959092	3.1397126017690127	2.7155332079626002	2.852564383619639	2.7230996868656256	2.2261332191820755	1.927525499653994	3.045208410745852	4.65406029518784	3.0194548639122822	3.0677565728233454	3.3572974806527913	3.4999346033115635	4.195915523159287	2.7761207811921986	3.511573735275898	4.05585410599339	2.787019240826395	5.8521896249174485	6.323510220241722	6.392578881294559	6.0010616639208445	5.614530574532993	7.576955855202788	5.713745311705621	2.7359566486011997
Flavobacterium	3.8376311768932436	2.221374713372157	2.759633364968781	1.8359492802584256	1.184047720552676	1.1693055265130663	1.355455234719555	1.6768508318349895	1.3430767425911616	1.7770681047036543	1.2860558485779685	1.166000207385924	1.440577242462267	1.3945254817849748	1.7706179006172036	0.8492224800671011	5.108177725468698	2.4704458411853696	3.348603722140379	1.771832352855631	1.4254487381225533	1.5146154185697023	1.5761129354447792	2.5098812047455135	2.313188190157291	2.60836676843459	2.213938819804406	2.0988660790624327	2.718463405473901	2.3339460487029617	3.612520082530293	4.358865056085237	3.8928239245792664	2.8325838344029037	1.6887122579617284	2.0319125135361666	1.5727136984609096	1.7143105041983726	0.896221208920988	3.360519483635943	4.307691536465974	3.8679205439308815	5.680457819452078	4.371094812298759	4.569814371492768	4.042401033117555	3.2785384854076245	3.12991065873428	3.066726706583604	3.3975356188300663	4.373632498587778	3.6904407346808887	3.028708473036819	5.6998220011586085	3.421750715713589	3.1012302616723204	2.8408471407091143	2.6239268813268333	5.595546396707252	3.7094864808848436	4.526965759848592	3.526906153048978	4.36470699259819	2.977960113334475	3.5803227163104587	4.800163889787904	4.579201415458217	5.326809099133625	4.231458207442396	4.322485933570361	3.3851862154032606	5.736644863224499	5.268004982083896	6.008908607173815	4.060886889440815	3.9474751465848037	5.172010672312453	5.173423617356086	4.190329780410657	5.148491997574104	5.107815670691374	3.437557561343599	4.1182593491940045	4.004326119805481	4.891197355824546	5.074891823614873	7.442061667419657	5.413537797312075	4.66949535112925	4.358334128963233
Blastocatella	3.2297661179363706	4.286866084983634	3.8151189375117003	3.6927874705111416	3.798872082098324	4.087681644689161	3.775107325240884	4.2108866475352515	3.848487891423318	3.1401023962643078	3.3026603900538345	3.858448217302845	3.056812905313062	2.9859331293303897	3.2957345568259027	2.8823753329112227	5.399080044832344	4.5647992446847265	5.968443391552412	5.06275619591279	4.545546070660119	4.5159632943905486	4.447283570967057	4.5538480845626035	6.146059913323665	6.501554014007169	4.8172916716163625	4.435307463252057	5.898740146133312	4.800400685486725	3.6485796448622803	3.792503769570528	3.7528547400739214	2.685367215821545	3.4010797079041084	2.507053420495553	2.7418006506232095	3.1681814097388283	2.741050533007106	4.170473476950967	4.009396340050257	3.1563424122611976	4.139971943502767	3.498125112241249	4.369613095091934	3.6027904262690122	3.2073250347940183	3.5094776821841287	3.3581363337246306	3.5779405570801	3.3106817682747574	3.1691164411572177	3.6973692540561274	3.7849345129098717	2.988253750615118	3.602696572138261	3.5043717780321564	4.0879872447334265	2.8043981562091225	3.4764244622013503	1.7947142883719713	2.028636455170816	2.5707181716710954	4.841816472669698	3.976455512285269	5.06062748796658	4.931581225578115	4.10034586566433	2.920318171494511	2.089813456775679	3.779296657795445	4.0152868566033755	3.6002448440795276	3.6725339535774695	3.7990858677992128	3.3572974806527913	4.782425278788142	5.128395301277929	3.5816099465271183	4.674414149939808	5.6794118703393845	4.341316165958198	4.67276178867262	5.082064218112949	3.6323849922441283	3.6461138850301826	4.180403409583509	4.071165214589357	4.1248750480988665	3.6553305855612024
Anaerolinea	4.462928191731757	3.5553736819311115	3.2548719915004334	3.128397327159792	3.3194083781183004	3.805576686539491	2.936346449453265	3.6208903003473107	2.889530898001874	2.381857564809757	3.005793214221646	2.8449265087198694	3.5704777885231667	3.154642180918837	2.9377376799024493	3.614192755186164	3.0141129025691558	3.008119146105793	2.2921764124235544	3.8581030355402453	3.2687241872770882	3.8896458918178896	2.925640023338265	2.8369020317349807	4.463534172687583	4.327602617258344	4.171241608556554	5.109629911338056	5.940228827436342	4.909244541160673	3.1549572412525135	3.0023430273520435	3.4375561023699164	2.7977612532319704	4.044836793182519	4.178961785574055	2.961896576773657	4.336599710904659	4.657985526696423	3.428767161750306	4.026625046078436	3.073194580439969	3.5922278806347756	3.107673758173159	3.039810860587101	2.9617974496549566	3.4371155850973545	2.729804460757793	2.6061689179569254	2.6938549354062165	2.969524916358937	2.750371071746201	3.067593469611662	2.478969203708523	2.1018545513365985	3.990153611235682	3.7845090460630018	3.5117641454012416	2.0752924050218975	2.1788305608947804	5.7042337134738945	5.189061522356391	4.823017001885695	1.8756782637831737	3.3765281257900717	4.188934141237496	3.7690298103052156	4.194622457412016	3.5459217867339716	3.2500614551802682	5.330479150671865	4.489348539136259	5.5735553904711725	5.122764232261301	5.798453340522248	5.9733253073803905	5.599485530932627	4.650401099773937	3.8580813149706974	5.426812909760245	4.753094626400252	4.822516812393488	4.630444739500468	4.952511417287446	5.036130542220853	4.246478924012062	4.658674545240094	5.1228317152826435	5.510646958749439	4.9784214346389
Illumatobacter	2.132831630071701	2.0917515031963005	0.9389397165907122	1.708028576317587	1.3440304734517343	1.2984754742448552	1.910586757859019	1.8147197861422868	1.2574028071852692	1.7770681047036543	1.9614743767396248	2.1239093123187365	1.440577242462267	1.5346437666515345	0.9650151270590558	1.4992555538855088	2.162337617999451	3.0658345711069654	2.1674576967856454	3.488308420108003	1.1334911217022499	2.289416729513176	1.8516888345616596	3.988017386343892	3.3603434336661584	2.60836676843459	3.415000899426828	3.7990151847237574	2.7600425218131925	4.148169593727848	3.453676302123044	3.6203875504161256	4.135214220415189	3.650714872399861	3.51982800631478	4.437001744866764	2.7898660317560195	3.052235549622148	3.8065120742471543	3.122400175716598	3.3922535039071535	5.337755154479928	3.415398596277755	4.206335800560369	3.389727082890354	3.4618568141727417	3.801709042560031	3.439397947915794	3.767315153442944	3.806487381421582	3.6132178675639635	3.6904407346808887	3.7755033219414864	3.242208056342121	5.308649799053778	3.297657579798508	3.4570837678301976	2.5845152431411926	2.6821903781464456	3.0862999635630364	4.955003654638239	3.671263333829463	4.507574664330429	4.343442986318833	5.359960709178674	4.209036654081398	3.8597648802229467	4.984325950821441	7.297674006384273	4.865084497863202	5.045760556091647	4.91483936668231	5.420037336617568	4.227879632727889	3.9642280287673572	3.8376454612290707	3.974668243522284	4.92946644882565	3.2224925001262306	5.132636070534247	5.730911859135274	4.567386025959852	4.036291767446488	4.2212530380875295	4.101829611861808	4.532884548571481	3.485271024023502	4.088262819197304	3.268148706742163	4.686268471847073
