	S1	S2	S3	S4	S5	S6	S7	S9	S10	S11	S12	S13	S15	S16	S17	S18	S19	S20	S22	S23	S24	S25	S26	S27	S28	S30	S34	S35	S36	S37	S61	S62	S63	S65	S85	S86	S87	S88	S89	S112	S113	S114	S161	S162	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S179	S182	S187	S188	S191	S194	S196	S197	S198	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225
[Eubacterium] brachy group	0.000665570433012293	0.000149454491107458	7.78634275480807e-05	0.000150602409638554	5.66893424036281e-05	0	0.000172711571675302	7.90670092903736e-05	0	0.000122812404052809	0.000174565767652963	7.36377025036819e-05	0.000527223926380368	0.000139742873113471	0.000567074251284778	7.15691536947576e-05	0.00148005148005148	0.00034944670937682	4.60447555023483e-05	0.000181983621474067	8.12413681046389e-05	5.35131374752502e-05	5.69735642661805e-05	6.01539942252166e-05	3.8680230534174e-05	0.000244081034903588	0.000263310337563853	0.000354767184035477	7.67224182906245e-05	0.000297459694211434	6.8036467546605e-05	6.37755102040816e-05	6.40656031776539e-05	5.81429152857724e-05	6.30358043368633e-05	0.000132573246718812	0.000152788388082506	0.000130081300813008	4.8344210780759e-05	0.000479616306954436	0	0.000195899177223456	0	0	0	0.000147145379635079	0	7.96051584142652e-05	9.6487842531841e-05	4.56017146244699e-05	0	6.60371128574259e-05	0	0	8.13802083333333e-05	0	0	0	0	0.000153621629925494	3.85981164119191e-05	0	8.62515094014145e-05	0	0.000120293516179478	0.000669612963706977	0.000823238856874044	0.00628160432174377	0.000284548989851086	0.000177085177970604	0	0	9.37031484257871e-05	0.000121750776161198	8.91027354539784e-05	0.00177045646986375	0.00069643271686141	0.000453367875647668	0	5.41682465738584e-05	0	3.54245633922562e-05	0.000483617458590255	6.99154023631406e-05	0	0.000386125233283995	0.000112968820605513	5.05484506899864e-05	5.7415169087673e-05	0.00035325287017957
[Eubacterium] coprostanoligenes group	0.00109623365437319	7.47272455537289e-05	0	7.53012048192771e-05	0	0	0	0.000237201027871121	6.29069291982512e-05	0	0.000261848651479445	0	9.58588957055215e-05	0.000209614309670207	0.00113414850256956	0	0.000193050193050193	0.00029120559114735	0	0	0	0	0	6.01539942252166e-05	3.8680230534174e-05	0	0	0	0	0	6.8036467546605e-05	6.37755102040816e-05	0	0	0	0.000198859870078218	0	0	4.8344210780759e-05	0	6.3335233390335e-05	3.26498628705759e-05	6.781500067815e-05	0	9.36855911560802e-05	7.35726898175397e-05	0	0	0	9.12034292489398e-05	0	6.60371128574259e-05	0	8.80126738250308e-05	0	0	6.83060109289617e-05	0	0	0	7.71962328238382e-05	6.60371128574259e-05	0.000603760565809902	0	0	0	0.000235211101964013	0.0033292502905242	0.000521673148060324	0	8.38926174496644e-05	8.00576415018814e-05	0	0	0	0	0.000812504836338312	6.47668393782383e-05	0	5.41682465738584e-05	0.000147362216327734	7.08491267845124e-05	0	6.99154023631406e-05	0.00132112862130792	0.000836604672115323	5.64844103027564e-05	0.000960420563109741	0	2.94377391816309e-05
[Eubacterium] nodatum group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000147145379635079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12up	0	0	0	0	0	0	0	3.95335046451868e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84867821330902e-05	0	0	0	0	0	0	5.94919388422869e-05	0	6.37755102040816e-05	0	5.81429152857724e-05	0	0	0	0	0	5.32907007727152e-05	0	0	0	0	0	0	0	0	0	0	7.54204691153179e-05	0	6.56598818122127e-05	0	0	0	0	0	0.000289435600578871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetivibrio	0	0	0	0	5.66893424036281e-05	0	5.75705238917674e-05	0	0	0	0	0	4.79294478527607e-05	0	0	7.15691536947576e-05	0	0	9.20895110046966e-05	0	0	2.67565687376251e-05	0	6.01539942252166e-05	0	0	0	0	0	0	0	6.37755102040816e-05	0	5.81429152857724e-05	0	0	0	6.50406504065041e-05	4.8344210780759e-05	5.32907007727152e-05	0	0	6.781500067815e-05	0	0	0	6.67779632721202e-05	0	0	4.56017146244699e-05	0	0	0	0	0	0	0	0	0	0.000153621629925494	0	0	0	0	0	0	0	6.28160432174377e-05	9.48496632836953e-05	0	0	0.00104074933952446	0	6.0875388080599e-05	8.91027354539784e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetoanaerobium	0.000195756009709498	0.000186818113884322	0.000155726855096161	0.000376506024096386	0.000113378684807256	4.43951165371809e-05	0.000115141047783535	3.95335046451868e-05	3.14534645991256e-05	0.000184218606079214	0.000174565767652963	0	0.00666219325153374	0.000489100055897149	0.00152401205032784	0.000107353730542136	6.43500643500643e-05	0.00040768782760629	0.000138134266507045	0.00024264482863209	0	5.35131374752502e-05	8.54603463992707e-05	0.000120307988450433	0.00019340115267087	8.13603449678627e-05	5.26620675127706e-05	0	7.67224182906245e-05	0.000297459694211434	6.8036467546605e-05	6.37755102040816e-05	0.00032032801588827	0.000116285830571545	0	0.000397719740156436	0.000229182582123759	0.000520325203252032	4.8344210780759e-05	0.00314415134559019	0.000190005700171005	0.0199490662139219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64785335262904e-05	0	0	0	0	0	0	0	0	6.28160432174377e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010850400108504	0.000670433866487884	0.0014052838673412	0.000515008828722778	0.0010016694490818	0.000875656742556918	0.000675414897722887	0.00109444115098728	0.00105588656761445	0.00138677937000594	0.0010505581089954	0.000968139412075339	0.000895182291666667	0.00155724940578641	0.00122950819672131	0.00143626570915619	0.000868306801736614	0.000384054074813734	0.00042457928053111	0.000660371128574259	0.000603760565809902	0.000552524345603978	0.000481174064717912	0.000803535556448373	0.000999647183347054	0.000690976475391815	0.000569097979702172	0.000531255533911812	0.000335570469798658	0.000640461132015051	0.00149925037481259	0.000365252328483594	0.00142564376726366	0.000923716419059349	0.000348216358430705	0.00103626943005181	0.00144543483497952	0.000650018958886301	0.000589448865310934	0.000566793014276099	0.000523918913472776	0.000629238621268265	0.00122676229121449	0.000900958877662655	0.000282422051513782	0.000505484506899864	0.000631566859964403	0.000794818957904033
Acetobacterium	7.83024038837992e-05	0	0	0	0	4.43951165371809e-05	5.75705238917674e-05	0.000158134018580747	3.14534645991256e-05	0.000184218606079214	0.000436414419132408	7.36377025036819e-05	0.000383435582822086	0.000139742873113471	0.00049618996987418	3.57845768473788e-05	0.000386100386100386	5.824111822947e-05	9.20895110046966e-05	0	0	0	8.54603463992707e-05	0	0	0.000162720689935725	0	0	0	5.94919388422869e-05	6.8036467546605e-05	0	0.000128131206355308	0	0	0	0	0	4.8344210780759e-05	0	6.3335233390335e-05	3.26498628705759e-05	0	0	0	0	0	0	0	4.56017146244699e-05	0	0	0	0	0	8.19604950413901e-05	0	0	0	0	0	0	0	0	0	0	5.88027754910032e-05	0.000157040108043594	0.000284548989851086	0.000177085177970604	0	0	0	6.0875388080599e-05	0	7.69763682549457e-05	3.86907064923006e-05	0	0	0	7.36811081638668e-05	0.000106273690176769	4.03014548825213e-05	6.99154023631406e-05	0.000188732660186845	6.43542055473325e-05	0	0	5.7415169087673e-05	0.00135413600235502
Achromobacter	0	0	0	7.53012048192771e-05	0	0	0	3.95335046451868e-05	0	0	0	0	0	0	0	0	0.00045045045045045	5.824111822947e-05	0	0.00024264482863209	0	0	0	0	3.8680230534174e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001356300013563	4.78881333205632e-05	0	0.000147145379635079	6.67779632721202e-05	0	9.6487842531841e-05	9.12034292489398e-05	0	6.60371128574259e-05	0.000131319763624425	0	8.13802083333333e-05	0	0	8.97666068222621e-05	0	0.000153621629925494	7.71962328238382e-05	0.000198111338572278	0	0.000207196629601492	0	6.69612963706977e-05	0.000294013877455016	9.42240648261566e-05	0.000142274494925543	0.000177085177970604	8.38926174496644e-05	8.00576415018814e-05	9.37031484257871e-05	0.000121750776161198	0	7.69763682549457e-05	7.73814129846011e-05	6.47668393782383e-05	0.000240905805829921	0.000108336493147717	0	7.08491267845124e-05	0	0	0	0.000193062616641998	0	0.000101096901379973	0.000114830338175346	0.000117750956726523
Acidaminobacter	0	3.73636227768644e-05	0	0.000451807228915663	0.000113378684807256	8.87902330743618e-05	0.000115141047783535	0.00011860051393556	0	6.14062020264047e-05	0	0	0.00349884969325153	0.00454164337618781	0.00233918128654971	0.000357845768473788	0.000579150579150579	0.00081537565521258	4.60447555023483e-05	0	0.000162482736209278	2.67565687376251e-05	0.000626709206927985	0.00018046198267565	0.000154720922136696	0.000976324139614352	0.000157986202538312	0.000266075388026608	0	0.000118983877684574	0.00013607293509321	6.37755102040816e-05	0.000448459222243577	2.90714576428862e-05	0	0.000132573246718812	0.000611153552330023	0	4.8344210780759e-05	0.00277111644018119	0.00012667046678067	0.00117539506334073	6.781500067815e-05	0.000287328799923379	9.36855911560802e-05	0.000882872277810477	0.000200333889816361	0	0.000385951370127364	0.00013680514387341	7.54204691153179e-05	6.60371128574259e-05	6.56598818122127e-05	0.000264038021475092	0.000244140625	0	0	0	9.64785335262904e-05	7.68108149627468e-05	7.71962328238382e-05	0.000198111338572278	0	0	6.0146758089739e-05	0.000736574260077675	0.000705633305892038	0.00260686579352367	0.00061652281134402	0.00218405052830411	0.00109060402684564	0.00112080698102634	0.000468515742128936	0.000669629268886589	0.000891027354539784	0.00292510199368794	0.000348216358430705	0.00110103626943005	0.00271019031558661	0.000433345972590867	7.36811081638668e-05	0.000354245633922562	0.000120904364647564	0.000279661609452562	0	0.000128708411094665	0.000225937641211026	5.05484506899864e-05	0.000229660676350692	0.00111863408890197
