Rank	GroupCode	Group	TotalVariation	MaximumAbsoluteTaxonDifferencePP	EqualSampleKnownFraction	PooledReadKnownFraction	KnownFractionDifferencePP
Phylum	IW	Inland wetland	0.013233006729922043	0.8077141295111001	0.9965458273761105	0.9962735940028677	0.027223337324278063
Phylum	CW	Coastal wetland	0.021246319280900414	1.4529591816066083	0.9967710088354254	0.9966518791328367	0.011912970258864952
Phylum	TW	Tibetan wetland	0.005369767416168286	0.20459439918334432	0.9962918166117467	0.9964633648075748	-0.017154819582809733
Class	IW	Inland wetland	0.01714467293980039	0.49220154977963027	0.9707987891197484	0.9689946921354722	0.18040969842761934
Class	CW	Coastal wetland	0.030767999717781137	0.9518615988441781	0.9683846547184116	0.970077190518285	-0.16925357998733848
Class	TW	Tibetan wetland	0.015371138511908454	0.30960683866969874	0.9647521889764371	0.9646673838645471	0.008480511189001838
Order	IW	Inland wetland	0.018528347941870305	0.5902850441021457	0.8108820130897548	0.8049791626487334	0.5902850441021457
Order	CW	Coastal wetland	0.04215637332425481	0.8860831586805049	0.8943884717747902	0.9004607749266578	-0.6072303151867575
Order	TW	Tibetan wetland	0.017823203473351448	0.3245569508081858	0.8619113565452925	0.8586657870372105	0.3245569508081969
Family	IW	Inland wetland	0.012825141204929317	0.2271305775822699	0.5723544211670455	0.5721190370376581	0.023538412938739484
Family	CW	Coastal wetland	0.04628915565241317	1.2960494607831663	0.7354404714475307	0.7484009660553623	-1.2960494607831663
Family	TW	Tibetan wetland	0.020857609334873666	0.41883067917437566	0.7310877254116501	0.7268994186199064	0.41883067917437566
Genus	IW	Inland wetland	0.012154471868615038	0.4267769757977602	0.28991305682708046	0.28564528706910286	0.4267769757977602
Genus	CW	Coastal wetland	0.042823562289364916	2.407887092789962	0.3838467844565524	0.407925655384452	-2.407887092789962
Genus	TW	Tibetan wetland	0.015783420694594198	0.48259680715274644	0.43307181950661044	0.428245851435083	0.48259680715274644
