Rank	GroupCode	Group	Taxon	AllReadMean	KnownOnlyMean	InflationPP
Phylum	IW	Inland wetland	Proteobacteria	0.23380807835259423	0.23460591652997487	0.07978381773806331
Phylum	IW	Inland wetland	Chloroflexi	0.17560180417559512	0.17624226117330868	0.06404569977135621
Phylum	IW	Inland wetland	Bacteroidetes	0.06519396132055894	0.06542155318786193	0.022759186730299252
Phylum	IW	Inland wetland	Acidobacteria	0.19261967335626284	0.19325973826729828	0.06400649110354373
Phylum	IW	Inland wetland	Actinobacteria	0.10352535550749131	0.10388288556491684	0.035753005742553134
Phylum	CW	Coastal wetland	Proteobacteria	0.37269758830053235	0.3737790358942406	0.10814475937082624
Phylum	CW	Coastal wetland	Chloroflexi	0.12366948115320059	0.12414330753146614	0.04738263782655544
Phylum	CW	Coastal wetland	Bacteroidetes	0.10072289274626053	0.10098637813711736	0.026348539085682687
Phylum	CW	Coastal wetland	Acidobacteria	0.07105327441085589	0.07130280838862135	0.024953397776546205
Phylum	CW	Coastal wetland	Actinobacteria	0.09523486410163824	0.09558700996289284	0.03521458612545936
Phylum	TW	Tibetan wetland	Proteobacteria	0.31489623418413215	0.3160783517209568	0.11821175368246228
Phylum	TW	Tibetan wetland	Chloroflexi	0.11545140749277512	0.11589843578293815	0.04470282901630346
Phylum	TW	Tibetan wetland	Bacteroidetes	0.1835605720811792	0.18425898476808142	0.06984126869022111
Phylum	TW	Tibetan wetland	Acidobacteria	0.07645415411086307	0.07671164579174168	0.025749168087861596
Phylum	TW	Tibetan wetland	Actinobacteria	0.10152667604197732	0.1018449604247018	0.03182843827244791
Class	IW	Inland wetland	Acidobacteria	0.16492072916568118	0.17003583707282538	0.5115107907144201
Class	IW	Inland wetland	Alphaproteobacteria	0.0861673079867751	0.08851826142503118	0.23509534382560732
Class	IW	Inland wetland	Betaproteobacteria	0.07376778998696909	0.07599139530764482	0.22236053206757256
Class	IW	Inland wetland	Anaerolineae	0.05493456054648962	0.056705643850928814	0.17710833044391958
Class	IW	Inland wetland	Gammaproteobacteria	0.031240047471186895	0.03205795892845828	0.0817911457271385
Class	CW	Coastal wetland	Acidobacteria	0.04345192214047041	0.04504982939817426	0.1597907257703847
Class	CW	Coastal wetland	Alphaproteobacteria	0.09553364309950159	0.09855614744993656	0.3022504350434968
Class	CW	Coastal wetland	Betaproteobacteria	0.04927093460297455	0.05098770403011275	0.17167694271381997
Class	CW	Coastal wetland	Anaerolineae	0.08336382643838505	0.08624684051196715	0.2883014073582102
Class	CW	Coastal wetland	Gammaproteobacteria	0.11517984851148627	0.11876965580055805	0.3589807289071781
Class	TW	Tibetan wetland	Acidobacteria	0.060526940365178666	0.06259922681721188	0.2072286452033209
Class	TW	Tibetan wetland	Alphaproteobacteria	0.07960765711145891	0.08213308626593285	0.2525429154473943
Class	TW	Tibetan wetland	Betaproteobacteria	0.1110154368003063	0.11526541566853922	0.42499788682329176
Class	TW	Tibetan wetland	Anaerolineae	0.06989667862963216	0.0733587547313915	0.34620761017593454
Class	TW	Tibetan wetland	Gammaproteobacteria	0.05578113394785272	0.05754388974269409	0.1762755794841371
Order	IW	Inland wetland	Anaerolineales	0.05493456054648962	0.06873428366923973	1.379972312275011
Order	IW	Inland wetland	Acidimicrobiales	0.029363364254812892	0.03516195383085368	0.5798589576040788
Order	IW	Inland wetland	Xanthomonadales	0.018478250899426268	0.02215213534616409	0.3673884446737823
Order	IW	Inland wetland	Sphingobacteriales	0.02240168698504181	0.02751077035837663	0.5109083373334822
Order	IW	Inland wetland	Rhizobiales	0.04704013805839456	0.057953584791056445	1.0913446732661882
Order	CW	Coastal wetland	Anaerolineales	0.08336382643838505	0.09386737557334324	1.0503549134958186
Order	CW	Coastal wetland	Acidimicrobiales	0.04621788622649122	0.051572100743510096	0.5354214517018875
Order	CW	Coastal wetland	Xanthomonadales	0.05356673355723885	0.05962322837216881	0.6056494814929959
Order	CW	Coastal wetland	Sphingobacteriales	0.015042899476303028	0.017016152939324635	0.19732534630216067
Order	CW	Coastal wetland	Rhizobiales	0.02488783332564076	0.027962345303562307	0.3074511977921548
Order	TW	Tibetan wetland	Anaerolineales	0.06989667862963216	0.08320238138073167	1.330570275109952
Order	TW	Tibetan wetland	Acidimicrobiales	0.034221478442719375	0.03965273007277437	0.5431251630054992
Order	TW	Tibetan wetland	Xanthomonadales	0.03175270484793487	0.036501407705207836	0.47487028572729684
Order	TW	Tibetan wetland	Sphingobacteriales	0.06080023023716307	0.07023108597159261	0.943085573442954
Order	TW	Tibetan wetland	Rhizobiales	0.020338150965839692	0.023248170753950095	0.2910019788110403
Family	IW	Inland wetland	Anaerolineaceae	0.05493456054648962	0.09786799303849966	4.293343249201005
Family	IW	Inland wetland	Flavobacteriaceae	0.003423868099708523	0.005574602111145055	0.21507340114365314
Family	IW	Inland wetland	Comamonadaceae	0.01339542114265386	0.023094063250092476	0.9698642107438615
Family	IW	Inland wetland	Planctomycetaceae	0.022098122037542217	0.03668333327113443	1.4585211233592217
Family	IW	Inland wetland	Gemmatimonadaceae	0.027491924497098818	0.04831379541083961	2.082187091374079
Family	CW	Coastal wetland	Anaerolineaceae	0.08336382643838505	0.11535019152937376	3.1986365090988707
Family	CW	Coastal wetland	Flavobacteriaceae	0.04888014199800176	0.06364655836724871	1.476641636924695
Family	CW	Coastal wetland	Comamonadaceae	0.01201684242047365	0.01703017924579108	0.501333682531743
Family	CW	Coastal wetland	Planctomycetaceae	0.021580719257155576	0.030015925989752633	0.8435206732597057
Family	CW	Coastal wetland	Gemmatimonadaceae	0.007649446527610958	0.010858693549833731	0.3209247022222773
Family	TW	Tibetan wetland	Anaerolineaceae	0.06989667862963216	0.09668462090861267	2.6787942278980514
Family	TW	Tibetan wetland	Flavobacteriaceae	0.03260878136126121	0.043218450738216486	1.0609669376955275
Family	TW	Tibetan wetland	Comamonadaceae	0.03821847712801916	0.052654004178442806	1.4435527050423649
Family	TW	Tibetan wetland	Planctomycetaceae	0.017970071959880957	0.024601218075487017	0.663114611560606
Family	TW	Tibetan wetland	Gemmatimonadaceae	0.01701009770758847	0.023877797994796963	0.6867700287208494
Genus	IW	Inland wetland	Sphingomonas	0.010904978295373959	0.0345417391737158	2.3636760878341843
Genus	IW	Inland wetland	Clostridium sensu stricto 13	0.004625918070895867	0.017236743030560806	1.261082495966494
Genus	IW	Inland wetland	Thiobacillus	0.0027807535415940846	0.008757133646859372	0.5976380105265288
Genus	IW	Inland wetland	Bacillus	0.004994115229596027	0.013763793546370634	0.8769678316774607
Genus	IW	Inland wetland	Candidatus Solibacter	0.023833236156502575	0.0965629217941984	7.272968563769583
Genus	CW	Coastal wetland	Sphingomonas	0.004613225065928601	0.01324613255414152	0.8632907488212919
Genus	CW	Coastal wetland	Clostridium sensu stricto 13	0.03209814324392249	0.07419834882135899	4.2100205577436505
Genus	CW	Coastal wetland	Thiobacillus	0.006265195494185234	0.016880125842074992	1.061493034788976
Genus	CW	Coastal wetland	Bacillus	0.013188628179528754	0.03918578284415547	2.599715466462672
Genus	CW	Coastal wetland	Candidatus Solibacter	0.001237665333817098	0.0034087081543099054	0.21710428204928073
Genus	TW	Tibetan wetland	Sphingomonas	0.023056200509757225	0.05092291936224632	2.7866718852489094
Genus	TW	Tibetan wetland	Clostridium sensu stricto 13	0.001296011620534956	0.00339049389575277	0.2094482275217814
Genus	TW	Tibetan wetland	Thiobacillus	0.02339529196181801	0.06218897845066629	3.8793686488848276
Genus	TW	Tibetan wetland	Bacillus	0.014134734089529817	0.03360659534775792	1.9471861258228105
Genus	TW	Tibetan wetland	Candidatus Solibacter	0.003063381122361056	0.007219383304246749	0.4156002181885693
