Rank	GroupCode	Group	Taxon	RankQualifiedTaxon	MeanRelativeAbundance	MeanPercent	Prevalence
Phylum	IW	Inland wetland	Proteobacteria	P · Proteobacteria	0.23380807835259423	23.380807835259425	1
Phylum	IW	Inland wetland	Chloroflexi	P · Chloroflexi	0.17560180417559512	17.56018041755951	1
Phylum	IW	Inland wetland	Bacteroidetes	P · Bacteroidetes	0.06519396132055894	6.519396132055894	1
Phylum	IW	Inland wetland	Acidobacteria	P · Acidobacteria	0.19261967335626284	19.261967335626284	1
Phylum	IW	Inland wetland	Actinobacteria	P · Actinobacteria	0.10352535550749131	10.352535550749131	1
Phylum	IW	Inland wetland	Unknown phylum	P · Unknown phylum	0.003454172623889436	0.3454172623889436	1
Phylum	CW	Coastal wetland	Proteobacteria	P · Proteobacteria	0.37269758830053235	37.269758830053235	1
Phylum	CW	Coastal wetland	Chloroflexi	P · Chloroflexi	0.12366948115320059	12.366948115320058	1
Phylum	CW	Coastal wetland	Bacteroidetes	P · Bacteroidetes	0.10072289274626053	10.072289274626053	1
Phylum	CW	Coastal wetland	Acidobacteria	P · Acidobacteria	0.07105327441085589	7.105327441085589	1
Phylum	CW	Coastal wetland	Actinobacteria	P · Actinobacteria	0.09523486410163824	9.523486410163825	1
Phylum	CW	Coastal wetland	Unknown phylum	P · Unknown phylum	0.003228991164574667	0.3228991164574667	1
Phylum	TW	Tibetan wetland	Proteobacteria	P · Proteobacteria	0.31489623418413215	31.489623418413217	1
Phylum	TW	Tibetan wetland	Chloroflexi	P · Chloroflexi	0.11545140749277512	11.545140749277511	1
Phylum	TW	Tibetan wetland	Bacteroidetes	P · Bacteroidetes	0.1835605720811792	18.35605720811792	1
Phylum	TW	Tibetan wetland	Acidobacteria	P · Acidobacteria	0.07645415411086307	7.645415411086306	1
Phylum	TW	Tibetan wetland	Actinobacteria	P · Actinobacteria	0.10152667604197732	10.152667604197733	1
Phylum	TW	Tibetan wetland	Unknown phylum	P · Unknown phylum	0.003708183388253242	0.37081833882532417	1
Class	IW	Inland wetland	Acidobacteria	C · Acidobacteria	0.16492072916568118	16.49207291656812	1
Class	IW	Inland wetland	Alphaproteobacteria	C · Alphaproteobacteria	0.0861673079867751	8.61673079867751	1
Class	IW	Inland wetland	Betaproteobacteria	C · Betaproteobacteria	0.07376778998696909	7.376778998696909	1
Class	IW	Inland wetland	Anaerolineae	C · Anaerolineae	0.05493456054648962	5.493456054648962	1
Class	IW	Inland wetland	Gammaproteobacteria	C · Gammaproteobacteria	0.031240047471186895	3.1240047471186894	1
Class	IW	Inland wetland	Unknown class	C · Unknown class	0.029201210880251672	2.920121088025167	1
Class	CW	Coastal wetland	Acidobacteria	C · Acidobacteria	0.04345192214047041	4.345192214047041	1
Class	CW	Coastal wetland	Alphaproteobacteria	C · Alphaproteobacteria	0.09553364309950159	9.553364309950158	1
Class	CW	Coastal wetland	Betaproteobacteria	C · Betaproteobacteria	0.04927093460297455	4.9270934602974545	1
Class	CW	Coastal wetland	Anaerolineae	C · Anaerolineae	0.08336382643838505	8.336382643838505	1
Class	CW	Coastal wetland	Gammaproteobacteria	C · Gammaproteobacteria	0.11517984851148627	11.517984851148627	1
Class	CW	Coastal wetland	Unknown class	C · Unknown class	0.03161534528158835	3.1615345281588354	1
Class	TW	Tibetan wetland	Acidobacteria	C · Acidobacteria	0.060526940365178666	6.052694036517867	1
Class	TW	Tibetan wetland	Alphaproteobacteria	C · Alphaproteobacteria	0.07960765711145891	7.960765711145891	1
Class	TW	Tibetan wetland	Betaproteobacteria	C · Betaproteobacteria	0.1110154368003063	11.10154368003063	1
Class	TW	Tibetan wetland	Anaerolineae	C · Anaerolineae	0.06989667862963216	6.989667862963215	1
Class	TW	Tibetan wetland	Gammaproteobacteria	C · Gammaproteobacteria	0.05578113394785272	5.578113394785271	1
Class	TW	Tibetan wetland	Unknown class	C · Unknown class	0.035247811023562926	3.5247811023562927	1
Order	IW	Inland wetland	Anaerolineales	O · Anaerolineales	0.05493456054648962	5.493456054648962	1
Order	IW	Inland wetland	Acidimicrobiales	O · Acidimicrobiales	0.029363364254812892	2.936336425481289	1
Order	IW	Inland wetland	Xanthomonadales	O · Xanthomonadales	0.018478250899426268	1.8478250899426267	1
Order	IW	Inland wetland	Sphingobacteriales	O · Sphingobacteriales	0.02240168698504181	2.240168698504181	1
Order	IW	Inland wetland	Rhizobiales	O · Rhizobiales	0.04704013805839456	4.704013805839456	1
Order	IW	Inland wetland	Unknown order	O · Unknown order	0.18911798691024514	18.911798691024515	1
Order	CW	Coastal wetland	Anaerolineales	O · Anaerolineales	0.08336382643838505	8.336382643838505	1
Order	CW	Coastal wetland	Acidimicrobiales	O · Acidimicrobiales	0.04621788622649122	4.621788622649122	1
Order	CW	Coastal wetland	Xanthomonadales	O · Xanthomonadales	0.05356673355723885	5.356673355723885	1
Order	CW	Coastal wetland	Sphingobacteriales	O · Sphingobacteriales	0.015042899476303028	1.5042899476303029	1
Order	CW	Coastal wetland	Rhizobiales	O · Rhizobiales	0.02488783332564076	2.488783332564076	1
