LineageRank	LineageKey	LeafGenus	Rank	RankIndex	Taxon	RankQualifiedTaxon	NodeEqualSampleMean	NodePercent	LeafEqualSampleMean	LeafPercent
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Sphingomonas	Phylum	1	Proteobacteria	P · Proteobacteria	0.3071339669457529	30.71339669457529	0.012858134623686594	1.2858134623686595
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Sphingomonas	Class	2	Alphaproteobacteria	C · Alphaproteobacteria	0.0871028693992452	8.71028693992452	0.012858134623686594	1.2858134623686595
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Sphingomonas	Order	3	Sphingomonadales	O · Sphingomonadales	0.026023111431390744	2.602311143139074	0.012858134623686594	1.2858134623686595
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Sphingomonas	Family	4	Sphingomonadaceae	F · Sphingomonadaceae	0.016314341383588022	1.6314341383588022	0.012858134623686594	1.2858134623686595
1	Proteobacteria > Alphaproteobacteria > Sphingomonadales > Sphingomonadaceae > Sphingomonas	Sphingomonas	Genus	5	Sphingomonas	G · Sphingomonas	0.012858134623686596	1.2858134623686595	0.012858134623686594	1.2858134623686595
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Clostridium sensu stricto 13	Phylum	1	Firmicutes	P · Firmicutes	0.05934885234273045	5.934885234273045	0.012673357645117771	1.267335764511777
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Clostridium sensu stricto 13	Class	2	Clostridia	C · Clostridia	0.027907159210318964	2.7907159210318966	0.012673357645117771	1.267335764511777
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Clostridium sensu stricto 13	Order	3	Clostridiales	O · Clostridiales	0.026647093736911143	2.6647093736911143	0.012673357645117771	1.267335764511777
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Clostridium sensu stricto 13	Family	4	Clostridiaceae 1	F · Clostridiaceae 1	0.01589781740319454	1.5897817403194539	0.012673357645117771	1.267335764511777
2	Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13	Clostridium sensu stricto 13	Genus	5	Clostridium sensu stricto 13	G · Clostridium sensu stricto 13	0.01267335764511777	1.2673357645117769	0.012673357645117771	1.267335764511777
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Thiobacillus	Phylum	1	Proteobacteria	P · Proteobacteria	0.3071339669457529	30.71339669457529	0.010813746999199108	1.0813746999199108
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Thiobacillus	Class	2	Betaproteobacteria	C · Betaproteobacteria	0.07801805379674998	7.801805379674997	0.010813746999199108	1.0813746999199108
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Thiobacillus	Order	3	Hydrogenophilales	O · Hydrogenophilales	0.01155419992577338	1.1554199925773379	0.010813746999199108	1.0813746999199108
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Thiobacillus	Family	4	Hydrogenophilaceae	F · Hydrogenophilaceae	0.01155419992577338	1.1554199925773379	0.010813746999199108	1.0813746999199108
3	Proteobacteria > Betaproteobacteria > Hydrogenophilales > Hydrogenophilaceae > Thiobacillus	Thiobacillus	Genus	5	Thiobacillus	G · Thiobacillus	0.010813746999199108	1.0813746999199108	0.010813746999199108	1.0813746999199108
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Bacillus	Phylum	1	Firmicutes	P · Firmicutes	0.05934885234273045	5.934885234273045	0.010772492499551532	1.0772492499551531
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Bacillus	Class	2	Bacilli	C · Bacilli	0.030027926716586998	3.0027926716586997	0.010772492499551532	1.0772492499551531
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Bacillus	Order	3	Bacillales	O · Bacillales	0.027273624834438952	2.727362483443895	0.010772492499551532	1.0772492499551531
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Bacillus	Family	4	Bacillaceae	F · Bacillaceae	0.014359847253678459	1.435984725367846	0.010772492499551532	1.0772492499551531
4	Firmicutes > Bacilli > Bacillales > Bacillaceae > Bacillus	Bacillus	Genus	5	Bacillus	G · Bacillus	0.010772492499551534	1.0772492499551534	0.010772492499551532	1.0772492499551531
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Arthrobacter	Phylum	1	Actinobacteria	P · Actinobacteria	0.1000956318837023	10.00956318837023	0.00856378592669771	0.8563785926697711
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Arthrobacter	Class	2	Actinobacteria	C · Actinobacteria	0.02832374875355657	2.832374875355657	0.00856378592669771	0.8563785926697711
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Arthrobacter	Order	3	Micrococcales	O · Micrococcales	0.01724771624492639	1.7247716244926392	0.00856378592669771	0.8563785926697711
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Arthrobacter	Family	4	Micrococcaceae	F · Micrococcaceae	0.008867854364332472	0.8867854364332471	0.00856378592669771	0.8563785926697711
5	Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter	Arthrobacter	Genus	5	Arthrobacter	G · Arthrobacter	0.008563785926697709	0.8563785926697709	0.00856378592669771	0.8563785926697711
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Flavobacterium	Phylum	1	Bacteroidetes	P · Bacteroidetes	0.11649247538266623	11.649247538266623	0.008166456152901479	0.8166456152901479
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Flavobacterium	Class	2	Flavobacteriia	C · Flavobacteriia	0.028907156557772432	2.8907156557772433	0.008166456152901479	0.8166456152901479
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Flavobacterium	Order	3	Flavobacteriales	O · Flavobacteriales	0.028907156557772432	2.8907156557772433	0.008166456152901479	0.8166456152901479
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Flavobacterium	Family	4	Flavobacteriaceae	F · Flavobacteriaceae	0.028304263819657165	2.8304263819657165	0.008166456152901479	0.8166456152901479
6	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Flavobacterium	Flavobacterium	Genus	5	Flavobacterium	G · Flavobacterium	0.008166456152901479	0.8166456152901479	0.008166456152901479	0.8166456152901479
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Anaerolinea	Phylum	1	Chloroflexi	P · Chloroflexi	0.13824089760719027	13.824089760719026	0.007531610481461075	0.7531610481461075
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Anaerolinea	Class	2	Anaerolineae	C · Anaerolineae	0.0693983552048356	6.93983552048356	0.007531610481461075	0.7531610481461075
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Anaerolinea	Order	3	Anaerolineales	O · Anaerolineales	0.0693983552048356	6.93983552048356	0.007531610481461075	0.7531610481461075
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Anaerolinea	Family	4	Anaerolineaceae	F · Anaerolineaceae	0.0693983552048356	6.93983552048356	0.007531610481461075	0.7531610481461075
7	Chloroflexi > Anaerolineae > Anaerolineales > Anaerolineaceae > Anaerolinea	Anaerolinea	Genus	5	Anaerolinea	G · Anaerolinea	0.007531610481461074	0.7531610481461074	0.007531610481461075	0.7531610481461075
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Illumatobacter	Phylum	1	Actinobacteria	P · Actinobacteria	0.1000956318837023	10.00956318837023	0.006843106998303157	0.6843106998303157
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Illumatobacter	Class	2	Acidimicrobiia	C · Acidimicrobiia	0.03660090964134116	3.660090964134116	0.006843106998303157	0.6843106998303157
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Illumatobacter	Order	3	Acidimicrobiales	O · Acidimicrobiales	0.03660090964134116	3.660090964134116	0.006843106998303157	0.6843106998303157
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Illumatobacter	Family	4	Acidimicrobiaceae	F · Acidimicrobiaceae	0.011201624174888089	1.120162417488809	0.006843106998303157	0.6843106998303157
8	Actinobacteria > Acidimicrobiia > Acidimicrobiales > Acidimicrobiaceae > Illumatobacter	Illumatobacter	Genus	5	Illumatobacter	G · Illumatobacter	0.006843106998303156	0.6843106998303156	0.006843106998303157	0.6843106998303157
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Gillisia	Phylum	1	Bacteroidetes	P · Bacteroidetes	0.11649247538266623	11.649247538266623	0.00655927691278976	0.655927691278976
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Gillisia	Class	2	Flavobacteriia	C · Flavobacteriia	0.028907156557772432	2.8907156557772433	0.00655927691278976	0.655927691278976
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Gillisia	Order	3	Flavobacteriales	O · Flavobacteriales	0.028907156557772432	2.8907156557772433	0.00655927691278976	0.655927691278976
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Gillisia	Family	4	Flavobacteriaceae	F · Flavobacteriaceae	0.028304263819657165	2.8304263819657165	0.00655927691278976	0.655927691278976
9	Bacteroidetes > Flavobacteriia > Flavobacteriales > Flavobacteriaceae > Gillisia	Gillisia	Genus	5	Gillisia	G · Gillisia	0.006559276912789759	0.6559276912789759	0.00655927691278976	0.655927691278976
