SampleID	CountTable	Metadata	GroupCode	Group	LibrarySize
S1	TRUE	TRUE	IW	Inland wetland	25542
S2	TRUE	TRUE	IW	Inland wetland	26764
S3	TRUE	TRUE	IW	Inland wetland	12843
S4	TRUE	TRUE	IW	Inland wetland	13280
S5	TRUE	TRUE	IW	Inland wetland	17640
S6	TRUE	TRUE	IW	Inland wetland	22525
S7	TRUE	TRUE	IW	Inland wetland	17370
S9	TRUE	TRUE	IW	Inland wetland	25295
S10	TRUE	TRUE	IW	Inland wetland	31793
S11	TRUE	TRUE	IW	Inland wetland	16285
S12	TRUE	TRUE	IW	Inland wetland	11457
S13	TRUE	TRUE	IW	Inland wetland	13580
S15	TRUE	TRUE	IW	Inland wetland	20864
S16	TRUE	TRUE	IW	Inland wetland	14312
S17	TRUE	TRUE	IW	Inland wetland	28215
S18	TRUE	TRUE	IW	Inland wetland	27945
S19	TRUE	TRUE	IW	Inland wetland	15540
S20	TRUE	TRUE	IW	Inland wetland	17170
S22	TRUE	TRUE	IW	Inland wetland	21718
S23	TRUE	TRUE	IW	Inland wetland	16485
S24	TRUE	TRUE	IW	Inland wetland	12309
S25	TRUE	TRUE	IW	Inland wetland	37374
S26	TRUE	TRUE	IW	Inland wetland	35104
S27	TRUE	TRUE	IW	Inland wetland	16624
S28	TRUE	TRUE	IW	Inland wetland	25853
S30	TRUE	TRUE	IW	Inland wetland	12291
S34	TRUE	TRUE	IW	Inland wetland	18989
S35	TRUE	TRUE	IW	Inland wetland	11275
S36	TRUE	TRUE	IW	Inland wetland	13034
S37	TRUE	TRUE	IW	Inland wetland	16809
S61	TRUE	TRUE	CW	Coastal wetland	14698
S62	TRUE	TRUE	CW	Coastal wetland	15680
S63	TRUE	TRUE	CW	Coastal wetland	15609
S65	TRUE	TRUE	CW	Coastal wetland	34398
S85	TRUE	TRUE	CW	Coastal wetland	15864
S86	TRUE	TRUE	CW	Coastal wetland	15086
S87	TRUE	TRUE	CW	Coastal wetland	13090
S88	TRUE	TRUE	CW	Coastal wetland	15375
S89	TRUE	TRUE	CW	Coastal wetland	20685
S112	TRUE	TRUE	CW	Coastal wetland	18765
S113	TRUE	TRUE	CW	Coastal wetland	31578
S114	TRUE	TRUE	CW	Coastal wetland	30628
S161	TRUE	TRUE	CW	Coastal wetland	14746
S162	TRUE	TRUE	CW	Coastal wetland	20882
S164	TRUE	TRUE	CW	Coastal wetland	10674
S165	TRUE	TRUE	CW	Coastal wetland	13592
S166	TRUE	TRUE	CW	Coastal wetland	14975
S167	TRUE	TRUE	CW	Coastal wetland	12562
S168	TRUE	TRUE	CW	Coastal wetland	10364
S169	TRUE	TRUE	CW	Coastal wetland	21929
S170	TRUE	TRUE	CW	Coastal wetland	13259
S171	TRUE	TRUE	CW	Coastal wetland	15143
S172	TRUE	TRUE	CW	Coastal wetland	15230
S173	TRUE	TRUE	CW	Coastal wetland	11362
S174	TRUE	TRUE	CW	Coastal wetland	12288
S175	TRUE	TRUE	CW	Coastal wetland	12201
S176	TRUE	TRUE	CW	Coastal wetland	14640
S177	TRUE	TRUE	CW	Coastal wetland	11140
S179	TRUE	TRUE	CW	Coastal wetland	10365
S182	TRUE	TRUE	CW	Coastal wetland	13019
S187	TRUE	TRUE	TW	Tibetan wetland	25908
S188	TRUE	TRUE	TW	Tibetan wetland	15143
S191	TRUE	TRUE	TW	Tibetan wetland	11594
S194	TRUE	TRUE	TW	Tibetan wetland	14479
S196	TRUE	TRUE	TW	Tibetan wetland	16626
S197	TRUE	TRUE	TW	Tibetan wetland	14934
S198	TRUE	TRUE	TW	Tibetan wetland	17006
S201	TRUE	TRUE	TW	Tibetan wetland	31839
S202	TRUE	TRUE	TW	Tibetan wetland	21086
S203	TRUE	TRUE	TW	Tibetan wetland	16941
S204	TRUE	TRUE	TW	Tibetan wetland	11920
S205	TRUE	TRUE	TW	Tibetan wetland	12491
S206	TRUE	TRUE	TW	Tibetan wetland	10672
S207	TRUE	TRUE	TW	Tibetan wetland	16427
S208	TRUE	TRUE	TW	Tibetan wetland	11223
S209	TRUE	TRUE	TW	Tibetan wetland	12991
S210	TRUE	TRUE	TW	Tibetan wetland	25846
S213	TRUE	TRUE	TW	Tibetan wetland	15440
S214	TRUE	TRUE	TW	Tibetan wetland	16604
S215	TRUE	TRUE	TW	Tibetan wetland	18461
S216	TRUE	TRUE	TW	Tibetan wetland	13572
S217	TRUE	TRUE	TW	Tibetan wetland	28229
S218	TRUE	TRUE	TW	Tibetan wetland	24813
S219	TRUE	TRUE	TW	Tibetan wetland	14303
S220	TRUE	TRUE	TW	Tibetan wetland	10597
S221	TRUE	TRUE	TW	Tibetan wetland	15539
S222	TRUE	TRUE	TW	Tibetan wetland	17704
S223	TRUE	TRUE	TW	Tibetan wetland	19783
S224	TRUE	TRUE	TW	Tibetan wetland	17417
S225	TRUE	TRUE	TW	Tibetan wetland	33970
