SampleID	GroupCode	OriginalLibrarySize	RarefactionDepth	RarefiedLibrarySize	ReadsDiscarded	Seed
S1	IW	25542	10000	10000	15542	20260728
S2	IW	26764	10000	10000	16764	20260728
S3	IW	12843	10000	10000	2843	20260728
S4	IW	13280	10000	10000	3280	20260728
S5	IW	17640	10000	10000	7640	20260728
S6	IW	22525	10000	10000	12525	20260728
S7	IW	17370	10000	10000	7370	20260728
S9	IW	25295	10000	10000	15295	20260728
S10	IW	31793	10000	10000	21793	20260728
S11	IW	16285	10000	10000	6285	20260728
S12	IW	11457	10000	10000	1457	20260728
S13	IW	13580	10000	10000	3580	20260728
S15	IW	20864	10000	10000	10864	20260728
S16	IW	14312	10000	10000	4312	20260728
S17	IW	28215	10000	10000	18215	20260728
S18	IW	27945	10000	10000	17945	20260728
S19	IW	15540	10000	10000	5540	20260728
S20	IW	17170	10000	10000	7170	20260728
S22	IW	21718	10000	10000	11718	20260728
S23	IW	16485	10000	10000	6485	20260728
S24	IW	12309	10000	10000	2309	20260728
S25	IW	37374	10000	10000	27374	20260728
S26	IW	35104	10000	10000	25104	20260728
S27	IW	16624	10000	10000	6624	20260728
S28	IW	25853	10000	10000	15853	20260728
S30	IW	12291	10000	10000	2291	20260728
S34	IW	18989	10000	10000	8989	20260728
S35	IW	11275	10000	10000	1275	20260728
S36	IW	13034	10000	10000	3034	20260728
S37	IW	16809	10000	10000	6809	20260728
S61	CW	14698	10000	10000	4698	20260728
S62	CW	15680	10000	10000	5680	20260728
S63	CW	15609	10000	10000	5609	20260728
S65	CW	34398	10000	10000	24398	20260728
S85	CW	15864	10000	10000	5864	20260728
S86	CW	15086	10000	10000	5086	20260728
S87	CW	13090	10000	10000	3090	20260728
S88	CW	15375	10000	10000	5375	20260728
S89	CW	20685	10000	10000	10685	20260728
S112	CW	18765	10000	10000	8765	20260728
S113	CW	31578	10000	10000	21578	20260728
S114	CW	30628	10000	10000	20628	20260728
S161	CW	14746	10000	10000	4746	20260728
S162	CW	20882	10000	10000	10882	20260728
S164	CW	10674	10000	10000	674	20260728
S165	CW	13592	10000	10000	3592	20260728
S166	CW	14975	10000	10000	4975	20260728
S167	CW	12562	10000	10000	2562	20260728
S168	CW	10364	10000	10000	364	20260728
S169	CW	21929	10000	10000	11929	20260728
S170	CW	13259	10000	10000	3259	20260728
S171	CW	15143	10000	10000	5143	20260728
S172	CW	15230	10000	10000	5230	20260728
S173	CW	11362	10000	10000	1362	20260728
S174	CW	12288	10000	10000	2288	20260728
S175	CW	12201	10000	10000	2201	20260728
S176	CW	14640	10000	10000	4640	20260728
S177	CW	11140	10000	10000	1140	20260728
S179	CW	10365	10000	10000	365	20260728
S182	CW	13019	10000	10000	3019	20260728
S187	TW	25908	10000	10000	15908	20260728
S188	TW	15143	10000	10000	5143	20260728
S191	TW	11594	10000	10000	1594	20260728
S194	TW	14479	10000	10000	4479	20260728
S196	TW	16626	10000	10000	6626	20260728
S197	TW	14934	10000	10000	4934	20260728
S198	TW	17006	10000	10000	7006	20260728
S201	TW	31839	10000	10000	21839	20260728
S202	TW	21086	10000	10000	11086	20260728
S203	TW	16941	10000	10000	6941	20260728
S204	TW	11920	10000	10000	1920	20260728
S205	TW	12491	10000	10000	2491	20260728
S206	TW	10672	10000	10000	672	20260728
S207	TW	16427	10000	10000	6427	20260728
S208	TW	11223	10000	10000	1223	20260728
S209	TW	12991	10000	10000	2991	20260728
S210	TW	25846	10000	10000	15846	20260728
S213	TW	15440	10000	10000	5440	20260728
S214	TW	16604	10000	10000	6604	20260728
S215	TW	18461	10000	10000	8461	20260728
S216	TW	13572	10000	10000	3572	20260728
S217	TW	28229	10000	10000	18229	20260728
S218	TW	24813	10000	10000	14813	20260728
S219	TW	14303	10000	10000	4303	20260728
S220	TW	10597	10000	10000	597	20260728
S221	TW	15539	10000	10000	5539	20260728
S222	TW	17704	10000	10000	7704	20260728
S223	TW	19783	10000	10000	9783	20260728
S224	TW	17417	10000	10000	7417	20260728
S225	TW	33970	10000	10000	23970	20260728
