ScopeCode	Scope	Samples	FeatureID	DetectedSamples	Prevalence	EqualSampleMean	BestRank	BestTaxon	Lineage
Global	All samples	90	OTU_32	84	0.9333333333333333	0.0011985667539466942	Phylum	Miscellaneous Crenarchaeotic Group	Archaea > Miscellaneous Crenarchaeotic Group > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_50	74	0.8222222222222222	0.001751408063419826	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_408	74	0.8222222222222222	6.308024717115559e-4	Genus	Geoalkalibacter	Bacteria > Proteobacteria > Deltaproteobacteria > Desulfuromonadales > Geobacteraceae > Geoalkalibacter > Unknown species
Global	All samples	90	OTU_6426	78	0.8666666666666667	9.30892619525654e-4	Family	Xanthomonadales Incertae Sedis	Bacteria > Proteobacteria > Gammaproteobacteria > Xanthomonadales > Xanthomonadales Incertae Sedis > Unknown genus > Unknown species
Global	All samples	90	OTU_75	77	0.8555555555555555	7.79076814303051e-4	Family	Rhodocyclaceae	Bacteria > Proteobacteria > Betaproteobacteria > Rhodocyclales > Rhodocyclaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_356	76	0.8444444444444444	5.04578066674105e-4	Family	Halieaceae	Bacteria > Proteobacteria > Gammaproteobacteria > Cellvibrionales > Halieaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_1	88	0.9777777777777777	0.010140087637493926	Genus	Clostridium sensu stricto 13	Bacteria > Firmicutes > Clostridia > Clostridiales > Clostridiaceae 1 > Clostridium sensu stricto 13 > Unknown species
Global	All samples	90	OTU_41	78	0.8666666666666667	0.0012158504703719054	Order	PeM15	Bacteria > Actinobacteria > Actinobacteria > PeM15 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_59	76	0.8444444444444444	0.004065472880655992	Family	Draconibacteriaceae	Bacteria > Bacteroidetes > Bacteroidia > Bacteroidia Incertae Sedis > Draconibacteriaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_52	87	0.9666666666666667	0.0015234330385951657	Genus	Bradyrhizobium	Bacteria > Proteobacteria > Alphaproteobacteria > Rhizobiales > Bradyrhizobiaceae > Bradyrhizobium > Unknown species
Global	All samples	90	OTU_23	90	1	0.0030354445089865543	Family	Alcaligenaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Alcaligenaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_2	90	1	0.008213118755311085	Genus	Arthrobacter	Bacteria > Actinobacteria > Actinobacteria > Micrococcales > Micrococcaceae > Arthrobacter > Unknown species
Global	All samples	90	OTU_36	90	1	0.00418673390832859	Family	DA101 soil group	Bacteria > Verrucomicrobia > Spartobacteria > Chthoniobacterales > DA101 soil group > Unknown genus > Unknown species
Global	All samples	90	OTU_192	89	0.9888888888888889	0.0015682654244150004	Class	KD4-96	Bacteria > Chloroflexi > KD4-96 > Unknown order > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_3	74	0.8222222222222222	0.003382186259426206	Genus	Paenisporosarcina	Bacteria > Firmicutes > Bacilli > Bacillales > Planococcaceae > Paenisporosarcina > Unknown species
Global	All samples	90	OTU_94	89	0.9888888888888889	0.0013980338462897968	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
Global	All samples	90	OTU_123	86	0.9555555555555556	0.0010032899285663756	Order	Subgroup 17	Bacteria > Acidobacteria > Acidobacteria > Subgroup 17 > Unknown family > Unknown genus > Unknown species
Global	All samples	90	OTU_37	88	0.9777777777777777	0.001810222986385486	Order	Subgroup 6	Bacteria > Acidobacteria > Acidobacteria > Subgroup 6 > Unknown family > Unknown genus > Unknown species
