FeatureID	FeatureState	TotalReads	PositiveSamples	RawPresence	DetectedSamples	Prevalence	EqualSampleMean	PooledReadFraction	MaximumSampleAbundance	BestRank	BestTaxon	Lineage
OTU_4272	Persistently rare	58	35	0.3888888888888889	9	0.1	3.811249934008746e-5	3.5809763717300435e-5	3.2544137987145064e-4	Order	Bacillales	Bacteria > Firmicutes > Bacilli > Bacillales > Unknown family > Unknown genus > Unknown species
OTU_236	Intermediate	465	31	0.34444444444444444	10	0.1111111111111111	2.6650037773057563e-4	2.870955194576673e-4	0.005964653902798232	Phylum	Chloroflexi	Bacteria > Chloroflexi > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species
OTU_399	Intermediate	463	72	0.8	53	0.5888888888888889	2.8598689484911956e-4	2.858607000191397e-4	0.004228329809725159	Family	Nitrosomonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Nitrosomonadales > Nitrosomonadaceae > Unknown genus > Unknown species
OTU_1556	Intermediate	548	79	0.8777777777777778	60	0.6666666666666666	3.807320043257894e-4	3.383405261565628e-4	0.004438012542209358	Order	Subgroup 17	Bacteria > Acidobacteria > Acidobacteria > Subgroup 17 > Unknown family > Unknown genus > Unknown species
OTU_32	Primary core	2123	90	1	84	0.9333333333333333	0.0011985667539466942	0.0013107608339970487	0.013318534961154272	Phylum	Miscellaneous Crenarchaeotic Group	Archaea > Miscellaneous Crenarchaeotic Group > Unknown class > Unknown order > Unknown family > Unknown genus > Unknown species
OTU_706	Persistently rare	56	34	0.37777777777777777	9	0.1	3.789820817903067e-5	3.4574944278772834e-5	6.912973346647207e-4	Genus	Nakamurella	Bacteria > Actinobacteria > Actinobacteria > Frankiales > Nakamurellaceae > Nakamurella > Unknown species
OTU_2246	Persistently rare	20	15	0.16666666666666666	3	0.03333333333333333	1.3005060672266517e-5	1.2348194385276013e-5	2.008838891120932e-4	Class	S085	Bacteria > Chloroflexi > S085 > Unknown order > Unknown family > Unknown genus > Unknown species
OTU_3692	Intermediate	547	84	0.9333333333333333	69	0.7666666666666667	3.2791131494680297e-4	3.3772311643729894e-4	0.0017118233870491706	Genus	Rhodobacter	Bacteria > Proteobacteria > Alphaproteobacteria > Rhodobacterales > Rhodobacteraceae > Rhodobacter > Unknown species
OTU_5342	Persistently rare	6	5	0.05555555555555555	0	0	3.564707730997055e-6	3.704458315582804e-6	7.71962328238382e-5	Class	WCHB1-41	Bacteria > Lentisphaerae > WCHB1-41 > Unknown order > Unknown family > Unknown genus > Unknown species
OTU_50	Primary core	2724	86	0.9555555555555556	74	0.8222222222222222	0.001751408063419826	0.001681824075274593	0.033587155421757865	Family	Comamonadaceae	Bacteria > Proteobacteria > Betaproteobacteria > Burkholderiales > Comamonadaceae > Unknown genus > Unknown species
