Branch	State	CandidateRawComponent	JSDivergence	CommonFeatures
Initialization seed 20260729	DMM-A	2	0	130
Initialization seed 20260729	DMM-B	1	0	130
Initialization seed 20260729	DMM-C	4	0	130
Initialization seed 20260729	DMM-D	3	0	130
Initialization seed 20260730	DMM-A	2	6.587006212985544e-12	130
Initialization seed 20260730	DMM-B	1	1.6310951989328362e-11	130
Initialization seed 20260730	DMM-C	4	1.8275712673624904e-11	130
Initialization seed 20260730	DMM-D	3	2.115018781069618e-12	130
Initialization seed 20260731	DMM-A	2	2.2548915326432278e-11	130
Initialization seed 20260731	DMM-B	1	7.501125843101206e-12	130
Initialization seed 20260731	DMM-C	4	5.16903497801686e-12	130
Initialization seed 20260731	DMM-D	3	3.0301233783581262e-12	130
Initialization seed 20260732	DMM-A	2	2.1473898181843937e-11	130
Initialization seed 20260732	DMM-B	1	7.652223287611931e-12	130
Initialization seed 20260732	DMM-C	4	3.336988478926655e-11	130
Initialization seed 20260732	DMM-D	3	1.5740019263463623e-12	130
Initialization seed 20260733	DMM-A	2	3.931482543133053e-12	130
Initialization seed 20260733	DMM-B	1	6.894895864029664e-12	130
Initialization seed 20260733	DMM-C	4	1.198266021154656e-11	130
Initialization seed 20260733	DMM-D	3	2.457660019041026e-12	130
Initialization seed 20260734	DMM-A	2	8.252033084876539e-12	130
Initialization seed 20260734	DMM-B	1	3.150556970966298e-11	130
Initialization seed 20260734	DMM-C	4	9.515960970769808e-11	130
Initialization seed 20260734	DMM-D	3	2.6384025165604357e-12	130
Initialization seed 20260735	DMM-A	2	3.734530770548701e-12	130
Initialization seed 20260735	DMM-B	1	1.2606502170941674e-11	130
Initialization seed 20260735	DMM-C	4	8.269969167367258e-11	130
Initialization seed 20260735	DMM-D	3	1.41992398280088e-12	130
Initialization seed 20260736	DMM-A	2	3.5408875785206974e-11	130
Initialization seed 20260736	DMM-B	1	1.0581479259766854e-11	130
Initialization seed 20260736	DMM-C	4	2.783251534800311e-11	130
Initialization seed 20260736	DMM-D	3	2.5248704998474064e-12	130
Bundled reference	DMM-A	3	1.4773590383724494e-11	130
Bundled reference	DMM-B	1	2.0785427452628543e-11	130
Bundled reference	DMM-C	2	1.0386393228640665e-10	130
Bundled reference	DMM-D	4	1.1623888506397725e-12	130
Primary	DMM-A	2	0	130
Primary	DMM-B	1	0	130
Primary	DMM-C	4	0	130
Primary	DMM-D	3	0	130
Prevalence >= 5%	DMM-A	2	6.004197129353012e-5	67
Prevalence >= 5%	DMM-B	1	4.9243069768143813e-5	67
Prevalence >= 5%	DMM-C	4	4.800990064228564e-4	67
Prevalence >= 5%	DMM-D	3	3.741023121663779e-4	67
Depth >= 1,000	DMM-A	1	7.05195783828796e-5	130
Depth >= 1,000	DMM-B	2	1.3086926859057717e-4	130
Depth >= 1,000	DMM-C	4	5.989898538379999e-4	130
Depth >= 1,000	DMM-D	3	0.0025367599167033703	130
Rarefied to 1,000	DMM-A	1	5.215964538173249e-4	130
Rarefied to 1,000	DMM-B	2	8.897789021708959e-4	130
Rarefied to 1,000	DMM-C	4	0.0025650092885332984	130
Rarefied to 1,000	DMM-D	3	0.0031838279104523114	130
One per participant	DMM-A	1	0.0014210303586369368	130
One per participant	DMM-B	2	0.0016284553486831518	130
One per participant	DMM-C	3	0.007112428726580499	130
One per participant	DMM-D	4	0.010719594760768964	130
