Source	K	NLE	LogDet	Laplace	BIC	AIC	SelectedLaplace	SelectedAIC	SelectedBIC
Fresh fixed-seed fit	1	39162.11177567569	369.45208622388793	39227.37580947102	39527.90714806558	39292.11177567569	0	0	1
Fresh fixed-seed fit	2	38854.52784217263	515.5713390421821	38872.47055452731	39588.93239750926	39115.52784217263	0	1	0
Fresh fixed-seed fit	3	38898.1372777347	632.7145692143318	38854.27065732564	40001.15101601806	39290.1372777347	0	0	0
Fresh fixed-seed fit	4	38953.69196903269	730.6722037301449	38838.42321803172	40425.314890262795	39476.69196903269	1	0	0
Fresh fixed-seed fit	5	39154.209642541944	872.1558262575311	38989.30175495485	40994.44174671878	39808.209642541944	0	0	0
Fresh fixed-seed fit	6	39369.36562894659	975.0106899882069	39135.50422537502	41578.206916070165	40154.36562894659	0	0	0
Fresh fixed-seed fit	7	39633.505857553064	1088.8114565215992	39336.16388939838	42210.956327623375	40549.505857553064	0	0	0
Bundled reference	1	39162.11177888758	369.4257374959038	39227.36263831892	39527.90715127747	39292.11177888758	0	0	1
Bundled reference	2	38854.52783947764	515.9993841885699	38872.68457440551	39588.93239481427	39115.52783947764	0	1	0
Bundled reference	3	38898.13728201851	569.0576106183298	38822.442182311446	40001.15102030188	39290.13728201851	0	0	0
Bundled reference	4	38953.69197577747	616.0334981379552	38781.1038719804	40425.31489700757	39476.69197577747	1	0	0
Bundled reference	5	39160.61968908677	616.2421285004386	38867.75495262114	41000.85179326361	39814.61968908677	0	0	0
Bundled reference	6	39369.36562495972	608.2521188138207	38952.12493580096	41578.2069120833	40154.36562495972	0	0	0
Bundled reference	7	39633.505854244184	555.1665564222913	39069.34143603985	42210.956324314495	40549.505854244184	0	0	0
