Sample1	Sample2	BetaNTI	RCbray	BrayCurtis	Group1	Group2	PairScope	Process
S2	S1	-0.54136513424475	1	0.470324290715913	IW	IW	Within IW	Dispersal limitation
S3	S1	-0.0100404257510373	1	0.459285433525424	IW	IW	Within IW	Dispersal limitation
S4	S1	-0.226605196981091	1	0.489039407541363	IW	IW	Within IW	Dispersal limitation
S5	S1	0.571206433781637	1	0.574840476291086	IW	IW	Within IW	Dispersal limitation
S6	S1	0.264127823472023	1	0.584178850123558	IW	IW	Within IW	Dispersal limitation
S7	S1	-1.10671884478367	1	0.546929711154104	IW	IW	Within IW	Dispersal limitation
S9	S1	-0.103736958604438	1	0.396101190684452	IW	IW	Within IW	Dispersal limitation
S10	S1	-0.569673504283833	1	0.595559183555884	IW	IW	Within IW	Dispersal limitation
S11	S1	-0.730755150233551	1	0.596775295256823	IW	IW	Within IW	Dispersal limitation
S12	S1	-0.794054699683062	1	0.603882818686177	IW	IW	Within IW	Dispersal limitation
S13	S1	1.72567109255014	1	0.577866626232176	IW	IW	Within IW	Dispersal limitation
S15	S1	0.0986842885121707	1	0.784771405636635	IW	IW	Within IW	Dispersal limitation
S16	S1	1.12127590088285	1	0.796009652936687	IW	IW	Within IW	Dispersal limitation
S17	S1	2.57807534955419	1	0.805185722145671	IW	IW	Within IW	Heterogeneous selection
S18	S1	-0.571258340773669	1	0.757340431203213	IW	IW	Within IW	Dispersal limitation
S19	S1	1.36475189845027	1	0.768985511056066	IW	IW	Within IW	Dispersal limitation
S20	S1	0.48259346211307	1	0.746438200012601	IW	IW	Within IW	Dispersal limitation
S22	S1	0.696092601369729	1	0.594785343573726	IW	IW	Within IW	Dispersal limitation
S23	S1	-0.0323818770841059	1	0.612725210041578	IW	IW	Within IW	Dispersal limitation
S24	S1	-1.2360406442047	1	0.636751095899458	IW	IW	Within IW	Dispersal limitation
S25	S1	-0.388008332385816	1	0.674688031344513	IW	IW	Within IW	Dispersal limitation
S26	S1	0.428038643392865	1	0.762195531498347	IW	IW	Within IW	Dispersal limitation
S27	S1	0.155600837589248	1	0.734082768892514	IW	IW	Within IW	Dispersal limitation
S28	S1	-0.1345577931387	1	0.815777870392181	IW	IW	Within IW	Dispersal limitation
S30	S1	-0.0768043585417563	1	0.738449803494753	IW	IW	Within IW	Dispersal limitation
S34	S1	-0.525355162585007	1	0.690019629933987	IW	IW	Within IW	Dispersal limitation
S35	S1	0.612108701198857	1	0.705566225118918	IW	IW	Within IW	Dispersal limitation
S36	S1	0.562133001323489	1	0.800170037763019	IW	IW	Within IW	Dispersal limitation
S37	S1	1.38046941749579	1	0.738735084067078	IW	IW	Within IW	Dispersal limitation
S61	S1	-0.363838353443068	1	0.832763368748789	CW	IW	Between groups	Dispersal limitation
S62	S1	-0.379349798053339	1	0.831463026473293	CW	IW	Between groups	Dispersal limitation
S63	S1	0.0901745247658238	1	0.789763121718041	CW	IW	Between groups	Dispersal limitation
S65	S1	-0.499182308678487	1	0.835955559816335	CW	IW	Between groups	Dispersal limitation
S85	S1	-0.410150179288669	1	0.850785597852281	CW	IW	Between groups	Dispersal limitation
S86	S1	0.733915855900178	1	0.776927792823745	CW	IW	Between groups	Dispersal limitation
S87	S1	-0.865529231601967	1	0.860095651894009	CW	IW	Between groups	Dispersal limitation
S88	S1	0.527335309250167	1	0.825741311146913	CW	IW	Between groups	Dispersal limitation
S89	S1	0.520489875437957	1	0.875225177452926	CW	IW	Between groups	Dispersal limitation
S112	S1	-0.274075880362727	1	0.856321817222547	CW	IW	Between groups	Dispersal limitation
S113	S1	-0.718438401209196	1	0.920078791298686	CW	IW	Between groups	Dispersal limitation
S114	S1	0.0603461509309453	1	0.910168588636795	CW	IW	Between groups	Dispersal limitation
S161	S1	0.802036918872758	1	0.858357244563535	CW	IW	Between groups	Dispersal limitation
S162	S1	0.862957317621052	1	0.835873587358736	CW	IW	Between groups	Dispersal limitation
S164	S1	0.857267847846024	1	0.832278394946009	CW	IW	Between groups	Dispersal limitation
S165	S1	2.80488904634067	1	0.811162985640547	CW	IW	Between groups	Heterogeneous selection
S166	S1	0.968553086154572	1	0.832358054925897	CW	IW	Between groups	Dispersal limitation
S167	S1	0.509099309423007	1	0.787607228739564	CW	IW	Between groups	Dispersal limitation
S168	S1	0.533559659169658	1	0.796035683212171	CW	IW	Between groups	Dispersal limitation
S169	S1	1.48791879589519	1	0.78758704483793	CW	IW	Between groups	Dispersal limitation
S170	S1	1.20651241707305	1	0.854624110805174	CW	IW	Between groups	Dispersal limitation
S171	S1	-0.0849874154973084	1	0.859969265573261	CW	IW	Between groups	Dispersal limitation
S172	S1	0.415799781714239	1	0.859622341625413	CW	IW	Between groups	Dispersal limitation
