Pathway	Description	MedianCoverage	MinimumCoverage	MaximumCoverage
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	0.1891096046104448	0	0.7244620863648472
ARO-PWY	chorismate biosynthesis I	0.5855984999612442	0.00136963095099643	0.6968805640926037
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	0.2520863120561375	2.2649739995906047e-10	0.7561039932289276
CALVIN-PWY	Calvin-Benson-Bassham cycle	0	0	0.00218166150237053
COA-PWY	coenzyme A biosynthesis I	0.8018775418950735	0	0.999998628394713
COA-PWY-1	coenzyme A biosynthesis II (mammalian)	0.8004783085998602	0	0.999998628394713
COLANSYN-PWY	colanic acid building blocks biosynthesis	5.4182599753923825e-11	0	5.354664111913643e-5
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	0.9999999998840539	0.9991284846168624	1
GLUCONEO-PWY	gluconeogenesis I	0.8011317128165933	3.298000191301337e-8	0.9994808437072704
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	0.9340453950478248	0.5426535275986563	1
GLUTORN-PWY	L-ornithine biosynthesis	1.6358619363441e-4	0	0.03390693483549369
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	0.7207505628897166	0.11642461352060092	0.97486811111021
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	0.25723761471379875	2.2649739997434532e-10	0.7575494076213714
NAGLIPASYN-PWY	lipid IVA biosynthesis	0.00188918630887331	0	0.3424567133381391
NONMEVIPP-PWY	methylerythritol phosphate pathway I	0.6941930872536223	0.0044715601255379	0.8887423389747467
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	0.9359152731652371	0.0053528927562524	0.9998878733408616
P42-PWY	incomplete reductive TCA cycle	0.05406871945205614	0	0.893776554417137
PANTO-PWY	phosphopantothenate biosynthesis I	0.03970106923725497	0	0.7719741860114777
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	0.06362810977397848	0	0.8036569229191854
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.9182246737928862	0.7404980671024599	0.9997429489484828
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	0.005377031172272695	0	0.7701216949431475
PPGPPMET-PWY	ppGpp biosynthesis	4.1224999999591285e-13	0	0.00852980663295979
PWY-1042	glycolysis IV (plant cytosol)	0.9881439427749984	0.7806544027198071	0.999999811660584
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0.002237808804783855	0	0.34005892460028386
PWY-2942	L-lysine biosynthesis III	0.6698580138972523	0.00154054099356662	0.9995457326425762
PWY-3001	superpathway of L-isoleucine biosynthesis I	0	0	0.3286892705067727
PWY-3841	folate transformations II	0.8567631263707376	0	0.9996144730913876
PWY-5097	L-lysine biosynthesis VI	0.9225198538247077	0.4079427136821977	0.999999412168702
PWY-5103	L-isoleucine biosynthesis III	0.22409597158266875	1.887478333190807e-10	0.7225992607041924
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0.7223544753716671	0.00548349740173445	0.9063539747257976
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	1.9325858175999039e-13	0	0.00677306707079931
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	0.9330664338572269	0.7035326052031503	0.999999314196886
PWY-5659	GDP-mannose biosynthesis	0.5919420891378383	0.00744338657705139	0.9994267406859632
PWY-5667	CDP-diacylglycerol biosynthesis I	0.7490645604163106	0.10713679281120046	0.9999980396199172
PWY-5686	UMP biosynthesis	0.935517301227055	0.7035326052031502	0.9999995427837288
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	0.8042700559699082	0.3118181033571414	0.963273068722894
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	0.8690364225719412	0.685133697242619	0.9997536559099592
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	0.8414873256054469	0.6351378227453209	0.9996920888504722
PWY-6123	inosine-5'-phosphate biosynthesis I	0.8363343997303296	0.5874300361879616	0.9996918603900852
PWY-6124	inosine-5'-phosphate biosynthesis II	0.8570978710568372	0.5972869421267349	0.9997533817237384
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	2.8857499999985607e-13	0	0.30842960941083075
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	2.8857499999985284e-13	0	0.30842262121374603
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.6676022810527629	0	0.8882561500630257
PWY-6151	S-adenosyl-L-methionine cycle I	0.3400933804086264	1.0546851160736e-4	0.9983091732981176
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	0.681917802552382	0.00482130594033179	0.915801012979222
PWY-6168	flavin biosynthesis III (fungi)	5.776789943926415e-10	0	0.7702235274858983
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.8414873256054469	0.6351378227453209	0.9996920888504722
PWY-6317	galactose degradation I (Leloir pathway)	0.9796113278034636	0.8251118813320091	1
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	0.9361727752734589	0.7842895154128392	0.9997943485703848
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.9468124382840366	0.8168876935676629	0.9997857815469806
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.9441815042748873	0.8002910676236705	0.9998071992819092
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	0.00148937349019825	0	0.2791763732462772
PWY-6609	adenine and adenosine salvage III	0.8037204331366223	0.23211046447521097	0.9999999907282056
PWY-6700	queuosine biosynthesis	0.7913701985746235	0.57450824237250675	0.9995382043717196
PWY-6703	preQ0 biosynthesis	0.00278159352976654	0	0.3387825743529301
PWY-6803	phosphatidylcholine acyl editing	0	0	3.0830784031181e-4
PWY-6897	thiamin salvage II	9.49985133834045e-4	0	0.31042256735497753
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type	1.5772499999990586e-13	0	1.557293848114231e-5
PWY-7208	superpathway of pyrimidine nucleobases salvage	1.648999999999705e-13	0	0.20310148564159275
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	0.7185936625039079	0	0.999999999931506
PWY-7221	guanosine ribonucleotides de novo biosynthesis	0.9055087960775441	0.6249226574981648	0.9999993141968851
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	0.7185936625039079	0	0.999999999931506
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	2.47349999999909e-13	0	0.2765601215066741
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	4.946999999994953e-13	0	0.4332413487223673
PWY-7238	sucrose biosynthesis II	0.9703609587344554	0.00742289157361297	0.999999675527766
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0	0	0.9994091649631218
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	4.063694981636832e-11	0	4.016053543275435e-5
PWY-7357	thiamin formation from pyrithiamine and oxythiamine (yeast)	0.6903864890346003	2.126999999997738e-12	0.9998215418147576
PWY-7560	methylerythritol phosphate pathway II	0.6941930872536223	0.0044715601255379	0.8887423389747467
PWY-7790	NA	0.941615639208548	0.7035326052031502	0.9999995427837288
PWY-7791	NA	0.9430507225568883	0.7619238076440862	0.9999995427837288
PWY-7851	NA	0.8018775418950735	0	0.999998628394713
PWY-7953	NA	0.9367160176072564	0.7780922153923413	0.999779662390932
PWY-7977	NA	0.24931855210348852	2.2649739997434943e-10	0.9899697239522935
PWY-8073	NA	0.00188918630887331	0	0.3424567133381391
