SampleID	Group	AnnotationCoverage
S1	IW	0.25178137968835645
S2	IW	0.19937229113734867
S3	IW	0.19909678424044228
S4	IW	0.24375
S5	IW	0.2042517006802721
S6	IW	0.24879023307436182
S7	IW	0.24974093264248703
S9	IW	0.2305593990907294
S10	IW	0.1883747994841632
S11	IW	0.18735032238256064
S12	IW	0.20729684908789386
S13	IW	0.20994108983799706
S15	IW	0.3873178680981595
S16	IW	0.32622973728339855
S17	IW	0.3621832358674464
S18	IW	0.37849346931472533
S19	IW	0.39395109395109396
S20	IW	0.3482236458940012
S22	IW	0.18809282622709272
S23	IW	0.22141340612678193
S24	IW	0.17938094077504266
S25	IW	0.18210520682827633
S26	IW	0.3501595259799453
S27	IW	0.29307025986525503
S28	IW	0.3022086411635013
S30	IW	0.27328939874705066
S34	IW	0.25630628258465427
S35	IW	0.2658980044345898
S36	IW	0.21298143317477367
S37	IW	0.31334404188232495
S61	CW	0.39570009525105454
S62	CW	0.4989158163265306
S63	CW	0.3953488372093023
S65	CW	0.3590906448049305
S85	CW	0.35558497226424607
S86	CW	0.41217022404878695
S87	CW	0.20970206264323912
S88	CW	0.3283252032520325
S89	CW	0.3982112642011119
S112	CW	0.4093791633359979
S113	CW	0.5371777820001267
S114	CW	0.5387553872273736
S161	CW	0.46439712464397126
S162	CW	0.3705104875011972
S164	CW	0.3581600149896946
S165	CW	0.41531783402001177
S166	CW	0.36293823038397327
S167	CW	0.2724884572520299
S168	CW	0.3227518332690081
S169	CW	0.28487391125906336
S170	CW	0.3528169545214571
S171	CW	0.3042990160470184
S172	CW	0.3086671043992121
S173	CW	0.35873965851082557
S174	CW	0.311767578125
S175	CW	0.35046307679698385
S176	CW	0.3978142076502732
S177	CW	0.3666068222621185
S179	CW	0.27660395561987455
S182	CW	0.27920731238958446
S187	TW	0.4911224332252586
S188	TW	0.5249290101036783
S191	TW	0.44755908228394
S194	TW	0.38497133779957177
S196	TW	0.48881270299530855
S197	TW	0.3862327574661846
S198	TW	0.40321063154180875
S201	TW	0.37152548760953547
S202	TW	0.2799487811818268
S203	TW	0.44383448438699014
S204	TW	0.3943791946308725
S205	TW	0.5008406052357698
S206	TW	0.45961394302848574
S207	TW	0.3966031533451026
S208	TW	0.47661053194333064
S209	TW	0.3973520129320299
S210	TW	0.41836260930124586
S213	TW	0.39650259067357513
S214	TW	0.37629486870633583
S215	TW	0.44791723091923513
S216	TW	0.4781167108753316
S217	TW	0.3260831060257182
S218	TW	0.3422399548623705
S219	TW	0.40117457875970075
S220	TW	0.34528640181183357
S221	TW	0.3892142351502671
S222	TW	0.5356416629010393
S223	TW	0.42536521255623516
S224	TW	0.346557960613194
S225	TW	0.3911392405063291
