Time	Survival	Lower	Upper	NRisk	NEvent	Treatment
0	1	1	1	89	0	Control
0	1	1	1	84	0	Tylosin
4	0.9887640449438202	0.9229158804132069	0.9984095878097845	89	1	Control
5	0.9662921348314607	0.899135491898001	0.9890025712320123	88	2	Control
6	0.9438202247191011	0.8702887352491155	0.9762240346275879	86	2	Control
7	0.898876404494382	0.8146814463210862	0.9460560543980633	84	4	Control
8	0.8876404494382023	0.8012367843516367	0.9379051858701691	80	1	Control
9	0.8202247191011237	0.7234353357928914	0.885757425820716	79	6	Control
10	0.7640449438202248	0.6614619029051687	0.8392494026315418	73	5	Control
11	0.7415730337078652	0.6372437636207566	0.8200592889382405	68	2	Control
12	0.7191011235955057	0.6133132444162637	0.8005779731865934	66	2	Control
13	0.6404494382022473	0.5315786576688527	0.730370841461534	64	7	Control
14	0.5955056179775282	0.48614976309596036	0.6889909122579305	57	4	Control
15	0.5842696629213484	0.47492805599368876	0.6785133156919935	53	1	Control
17	0.5393258426966293	0.4305669132802624	0.6360918168045286	52	4	Control
18	0.5168539325842698	0.40869733312115514	0.6145801445499273	48	2	Control
19	0.50561797752809	0.3978397268695777	0.6037499738835344	46	1	Control
20	0.47191011235955066	0.3655759495573182	0.5709630003767974	45	3	Control
21	0.44943820224719105	0.34432604602852973	0.54885726218595	42	2	Control
22	0.41573033707865176	0.3128470936523488	0.5153223108045428	40	3	Control
23	0.4041822721598003	0.3021089446077256	0.5037901765343431	36	1	Control
24	0.4041822721598003	0.3021089446077256	0.5037901765343431	2	0	Control
3	0.9761904761904762	0.9081408413601152	0.9939915841526473	84	2	Tylosin
4	0.9404761904761905	0.8628960515147538	0.974783436547006	82	3	Tylosin
5	0.9166666666666666	0.8331361052704513	0.9593765988374773	79	2	Tylosin
6	0.869047619047619	0.7760277079213326	0.9252491538467112	77	4	Tylosin
7	0.8214285714285714	0.7214022216228911	0.8882578927936484	73	4	Tylosin
8	0.7738095238095237	0.6686360212861484	0.849282895526692	69	4	Tylosin
9	0.6904761904761905	0.5797443574608606	0.7775379194984738	65	7	Tylosin
10	0.6190476190476191	0.5064070809231132	0.7131845299731926	58	6	Tylosin
11	0.5714285714285715	0.4588005529023699	0.6690188046261668	52	4	Tylosin
12	0.5238095238095238	0.412163671256276	0.6239106864898247	48	4	Tylosin
13	0.4642857142857143	0.35520566133493287	0.5662376866974808	44	5	Tylosin
14	0.39285714285714285	0.288852332379699	0.4951294945507979	39	6	Tylosin
15	0.36904761904761907	0.26724094848437596	0.4709490864856136	33	2	Tylosin
16	0.34523809523809523	0.24589755082763634	0.44651768087766713	31	2	Tylosin
17	0.3214285714285714	0.2248347330441192	0.4218246310894355	29	2	Tylosin
18	0.28571428571428564	0.1938021187444705	0.3842640853254	27	3	Tylosin
19	0.2619047619047618	0.17351855772685204	0.35885018135469515	24	2	Tylosin
21	0.24999999999999992	0.1635080241837201	0.3460226988723158	22	1	Tylosin
22	0.238095238095238	0.15359030877703264	0.33311025379074793	21	1	Tylosin
23	0.22619047619047608	0.1437700527395796	0.320108823522252	20	1	Tylosin
