SinkSampleID	Source	Contribution	SourceSampleID	SourceClass
ERR525698	ERR525693_Infant gut	0.66889087998063	ERR525693	Infant gut
ERR525698	ERR525688_Adult gut	0.000564732241780163	ERR525688	Adult gut
ERR525698	ERR525699_Adult gut	0.00236565653944906	ERR525699	Adult gut
ERR525698	ERR525910_Adult gut	0.0293826979336438	ERR525910	Adult gut
ERR525698	ERR525909_Adult skin	5.19943451537114e-09	ERR525909	Adult skin
ERR525698	ERR525908_Adult skin	1.92698023569487e-28	ERR525908	Adult skin
ERR525698	ERR525911_Adult skin	0.000867274419272814	ERR525911	Adult skin
ERR525698	ERR525954_Soil	0.00265964144886485	ERR525954	Soil
ERR525698	ERR525949_Soil	0.109911841498459	ERR525949	Soil
ERR525698	Unknown	0.185357270738466	NA	Unknown
