Cohort	TimeFactor	emmean	SE	df	lower.CL	upper.CL	Timepoint
African American	1	2.67835921613745	0.111831815729023	37	2.45176643398045	2.90495199829446	1
Rural African	1	2.02863400343712	0.124294114004375	36	1.77655385646767	2.28071415040657	1
African American	2	2.87419278471451	0.111831815729023	37	2.6476000025575	3.10078556687152	2
Rural African	2	2.18403425863212	0.127534952196055	36	1.92538138716797	2.44268713009627	2
African American	3	2.7477015946966	0.111831815729023	37	2.5211088125396	2.97429437685361	3
Rural African	3	2.30882790041426	0.124294114004375	36	2.0567477534448	2.56090804738371	3
African American	4	2.67625555230719	0.114170396855841	37	2.44492435469684	2.90758674991753	4
Rural African	4	2.55535410512476	0.124294114004375	36	2.3032739581553	2.80743425209421	4
African American	5	2.66742357165643	0.11420681890741	37	2.4360185759597	2.89882856735315	5
Rural African	5	2.41858702969037	0.13111109635688	36	2.15268140170701	2.68449265767373	5
African American	6	2.6421017805591	0.11420681890741	37	2.41069678486238	2.87350677625583	6
Rural African	6	2.59652243083124	0.124294114004375	36	2.34444228386178	2.84860257780069	6
