Model	Term	Estimate	SE	DF	Lower	Upper	PValue
Volatility LMM	(Intercept)	0.358737352843883	0.0392618022957371	134	0.28108434895445	0.436390356733316	8.88483735274046e-16
Volatility LMM	CohortRural African	0.0288106384462801	0.0596764259282936	36	-0.0922187629788464	0.149840039871407	0.632174267207163
Volatility LMM	WindowT2-T3	0.0837770701198113	0.0524357548726382	134	-0.0199317165120345	0.187485856751657	0.112463258972123
Volatility LMM	WindowT3-T4	0.106571403264896	0.0531447103048238	134	0.00146042631793811	0.211682380211855	0.0469445401082863
Volatility LMM	WindowT4-T5	-0.113835730006773	0.0539168910264819	134	-0.220473945874925	-0.0071975141386207	0.0366019357613413
Volatility LMM	WindowT5-T6	-0.0498243269844458	0.0531447103048238	134	-0.154935303931404	0.0552866499625125	0.350176878448748
Volatility LMM	CohortRural African:WindowT2-T3	-0.0980952627697967	0.0797385612467965	134	-0.255804243116518	0.0596137175769244	0.220773392238933
Volatility LMM	CohortRural African:WindowT3-T4	-0.142415192072841	0.0796015453564401	134	-0.299853178862348	0.0150227947166659	0.0758575698518697
Volatility LMM	CohortRural African:WindowT4-T5	-0.051316488187912	0.0816617622121853	134	-0.212829224941957	0.110196248566133	0.530809663393608
Volatility LMM	CohortRural African:WindowT5-T6	-0.0554031051771234	0.0811540048489391	134	-0.215911586339282	0.105105375985035	0.495980679671636
