Model	Response	Predictor	Estimate	SE	Lower	Upper	PValue
Full direct-path DAG	pH	TempZ	1.16255240623729	0.242638831252436	0.680121404950288	1.64498340752429	6.95817850445762e-06
Full direct-path DAG	pH	PrecipZ	-1.13516135661776	0.170496939760312	-1.47415495026627	-0.796167762969257	2.58623434001589e-09
Full direct-path DAG	log Conductivity	TempZ	0.748595891545352	0.190566928473593	0.3696977834348	1.1274939996559	0.000173543013148464
Full direct-path DAG	log Conductivity	PrecipZ	-0.494063982867975	0.133907165463004	-0.760307302539307	-0.227820663196642	0.000395379947332495
Full direct-path DAG	Shannon	pHZ	0.296693109971827	0.12676838193373	0.0445558969077537	0.5488303230359	0.0216614515081858
Full direct-path DAG	Shannon	LogECZ	-0.490829407943606	0.161407502752636	-0.81186243913711	-0.169796376750102	0.00315554831931506
Full direct-path DAG	Shannon	TempZ	0.305741499305855	0.328584137201926	-0.347799133992334	0.959282132604043	0.354820272068193
Full direct-path DAG	Shannon	PrecipZ	0.527462954663948	0.247989404778195	0.0342220026505402	1.02070390667736	0.0363923395872391
Full direct-path DAG	log TOC	ShannonZ	-0.0122776421850391	0.0718157203682297	-0.155141987407689	0.130586703037611	0.864676079541256
Full direct-path DAG	log TOC	pHZ	-0.689055800701342	0.0856341948986365	-0.85940949373865	-0.518702107664035	5.65180656356904e-12
Full direct-path DAG	log TOC	LogECZ	0.487084250438497	0.111331999619829	0.265609437591649	0.708559063285346	3.54495831908745e-05
Full direct-path DAG	log TOC	TempZ	-1.04334854311309	0.216101883166343	-1.47324402952805	-0.613453056698122	6.30474702355325e-06
Full direct-path DAG	log TOC	PrecipZ	0.649768929025286	0.166615767838265	0.318317090153066	0.981220767897506	0.000196133597237712
Mediation-only DAG	pH	TempZ	1.16255240623729	0.242638831252436	0.680121404950288	1.64498340752429	6.95817850445762e-06
Mediation-only DAG	pH	PrecipZ	-1.13516135661776	0.170496939760312	-1.47415495026627	-0.796167762969257	2.58623434001589e-09
Mediation-only DAG	log Conductivity	TempZ	0.748595891545352	0.190566928473593	0.3696977834348	1.1274939996559	0.000173543013148464
Mediation-only DAG	log Conductivity	PrecipZ	-0.494063982867975	0.133907165463004	-0.760307302539307	-0.227820663196642	0.000395379947332495
Mediation-only DAG	Shannon	pHZ	0.14668364271659	0.118578419953351	-0.0890820241960152	0.382449309629195	0.219487122611329
Mediation-only DAG	Shannon	LogECZ	-0.448813253941159	0.169707643013488	-0.786237514198478	-0.111388993683839	0.00973905736455939
Mediation-only DAG	log TOC	ShannonZ	-0.0268468936014042	0.0725125605983852	-0.171046072584515	0.117352285381707	0.712137197794305
Mediation-only DAG	log TOC	pHZ	-0.856679889989268	0.0799839390365637	-1.01573672436017	-0.697623055618362	2.22819888806261e-17
Mediation-only DAG	log TOC	LogECZ	0.332474528859593	0.118030570280476	0.0977577958011821	0.567191261918003	0.00604350676740471
