Rho	ACME	Lower	Upper
-0.95	-1.58160902327364	-3.11908400855519	-0.0441340379920951
-0.9	-1.07049568766612	-2.11310483197	-0.0278865433622457
-0.85	-0.834618152750259	-1.64933309260325	-0.0199032128972688
-0.8	-0.688094492495227	-1.36159705042422	-0.014591934566233
-0.75	-0.583818624619503	-1.15712409249156	-0.0105131567474431
-0.7	-0.503451916798019	-0.999812628581632	-0.00709120501440669
-0.65	-0.438166839648158	-0.87229904402908	-0.00403463526723591
-0.6	-0.383093175175008	-0.765019872259091	-0.00116647809092396
-0.55	-0.335268089476018	-0.672177115672417	0.00164093672038124
-0.5	-0.292808002759193	-0.590109947124136	0.00449394160575095
-0.45	-0.254407985558998	-0.516316106503808	0.00750013538581079
-0.4	-0.219127374379819	-0.449039487347846	0.0107847385882076
-0.35	-0.186285017314237	-0.387078916454503	0.0145088818260289
-0.3	-0.155357738086979	-0.329615703154516	0.0189002269805577
-0.25	-0.125923456125784	-0.276147862606364	0.024300950354797
-0.2	-0.0976472299385207	-0.226538050847756	0.0312435909707142
-0.15	-0.0702415766248104	-0.181051931988931	0.04056877873931
-0.0999999999999999	-0.0434615008275278	-0.140471085590429	0.0535480839353736
-0.0499999999999999	-0.0170845029055628	-0.106003575338555	0.0718345695274294
1.11022302462516e-16	0.00909456878507992	-0.0787096531712854	0.0968987907414452
0.05	0.0352736404757169	-0.0585540620199356	0.129101342971369
0.1	0.0616506383976854	-0.044234805844265	0.167536082639636
0.15	0.0884307141949681	-0.0340336634190936	0.21089509180903
0.2	0.115836367508678	-0.0265378218572562	0.258210556874613
0.25	0.144112593695945	-0.0207931356458407	0.30901832303773
0.3	0.173546875657132	-0.0161921182623272	0.363285869576592
0.35	0.204474154884394	-0.0123507741311592	0.421299083899947
0.4	0.237316511949981	-0.00901607965917128	0.483649103559133
0.45	0.272597123129161	-0.00601536458490431	0.551209610843227
0.5	0.310997140329357	-0.0032215758845669	0.625215856543281
0.55	0.353457227046176	-0.000530851208758065	0.70744530530111
0.6	0.401282312745169	0.0021500876158686	0.800414537874469
0.65	0.45635597721832	0.00491774271711293	0.907794211719527
0.7	0.521641054368163	0.00789336168089161	1.03538874705544
0.75	0.602007762189655	0.0112491982944577	1.19276632608485
0.8	0.706283630065355	0.0152732937755539	1.39729396635516
0.85	0.852807290320361	0.020538880495349	1.68507570014537
0.9	1.08868482523627	0.0284836422073065	2.14888600826523
0.95	1.59979816084407	0.0446983086104835	3.15489801307767
